着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,10,ルアーズストリート,牝6,54.0,戸崎圭太,1:08.8,,17.9,8,450(+2),[西] 平田修
2,3,6,シェルエメール,牝5,52.0,丸田恭介,1:08.8,アタマ,24.9,10,444(0),[西] 鈴木孝志
3,8,16,ラトルスネーク,牡5,57.5,Ｃ．デム,1:08.9,1/2,2.6,1,512(-2),[西] 須貝尚介
4,1,1,フレデフォート,牡6,56.0,池添謙一,1:08.9,アタマ,16.3,7,454(+2),[西] 安田隆行
5,2,4,キタサンエピソード,牡4,56.0,北村友一,1:09.0,1/2,14.9,5,494(-2),[西] 橋口弘次
6,7,13,マストバイアイテム,牝6,52.0,吉田豊,1:09.0,アタマ,84.0,16,456(-10),[西] 宮本博
7,7,14,レディオブパーシャ,牝5,52.0,武豊,1:09.1,1/2,5.8,2,474(+2),[西] 西浦勝一
8,5,9,アンプレシオネ,牝8,52.0,川田将雅,1:09.2,1/2,21.2,9,458(+6),[西] 小野幸治
9,8,17,ブルーピアス,牝4,51.0,酒井学,1:09.3,3/4,75.9,15,444(-8),[東] 田島俊明
10,2,3,ビットスターダム,牡5,56.0,柴山雄一,1:09.3,アタマ,15.3,6,468(0),[西] 大根田裕
11,4,7,アグネスハビット,牡4,54.0,丹内祐次,1:09.4,クビ,9.9,4,460(-2),[西] 河内洋
12,1,2,アイビーフォールド,牡6,54.0,松山弘平,1:09.4,クビ,34.5,12,462(0),[西] 吉田直弘
13,6,12,アルベルトバローズ,牡4,56.0,福永祐一,1:09.5,1/2,8.1,3,490(-2),[西] 清水久詞
14,4,8,エランドール,牝5,52.0,国分優作,1:09.5,クビ,26.6,11,444(+8),[西] 坪憲章
15,6,11,シンワクイーン,牝4,51.0,西村太一,1:09.5,ハナ,47.3,13,454(-4),[東] 田村康仁
16,7,15,シエラデルタ,牡6,53.0,岩田康誠,1:09.6,クビ,56.2,14,456(-4),[西] 野中賢二
17,8,18,ハートランドノリカ,牝8,50.0,竹之下智,1:10.1,3,193.8,18,482(-4),[西] 千田輝彦
18,3,5,コーリングオブラブ,牝6,51.0,吉田隼人,1:10.6,3,154.0,17,476(0),[西] 安達昭夫
