着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,14,キセキノハナ,牝4,53,藤懸貴志,1:12.0,,11.8,8,454(0),[西] 柴田光陽
2,4,8,アグネスピンキー,牝5,55,池添謙一,1:12.4,2.1/2,10.3,6,438(-2),[西] 長浜博之
3,4,7,シャンパンルージュ,牝3,54,西田雄一,1:12.5,1/2,74.3,12,480(+12),[東] 武藤善則
4,8,16,プリティーキャロル,牝3,52,杉原誠人,1:12.6,3/4,6.0,4,456(+2),[東] 大江原哲
5,6,12,オードゥルルド,牝4,55,勝浦正樹,1:12.6,クビ,58.2,11,490(+8),[東] 栗田徹
6,2,4,アサケゴマ,牝3,54,松山弘平,1:12.7,クビ,5.3,3,482(+10),[西] 大橋勇樹
7,6,11,ワキノネクサス,牝4,55,川須栄彦,1:12.7,アタマ,52.9,10,446(-1),[西] 村山明
8,7,13,メイショウヒメユリ,牝4,55,吉田隼人,1:12.8,3/4,7.3,5,434(+4),[西] 荒川義之
9,1,1,ハルシュタット,牝4,55,北村友一,1:12.9,クビ,11.7,7,478(-4),[西] 清水出美
10,8,15,ピースオブアイ,牝4,54,横山和生,1:12.9,クビ,4.9,1,466(0),[東] 手塚貴久
11,2,3,ヴェリタスローズ,牝6,52,岩崎翼,1:13.0,クビ,81.7,13,460(+6),[西] 佐藤正雄
12,1,2,チェリービスティー,牝5,55,平野優,1:13.4,2.1/2,160.0,15,460(+6),[東] 伊藤大士
13,5,10,ジーピークロス,牝4,55,丸田恭介,1:13.5,クビ,5.3,2,496(-6),[西] 牧田和弥
14,5,9,スーパーアース,牝3,54,黛弘人,1:13.6,3/4,101.7,14,466(+8),[東] 菊川正達
15,3,5,ミッドナイトリバー,牝4,55,丹内祐次,1:14.6,6,39.8,9,422(+4),[東] 清水美波
16,3,6,シンチノクリチャン,牝4,55,松田大作,1:15.5,5,272.0,16,432(-17),[東] 石毛善彦
