着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,11,リアルヴィーナス,牝2,54,福永祐一,1:22.5,,1.8,1,446(-6),[西] 安達昭夫
2,8,14,マイネヴァリエンテ,牝2,54,中井裕二,1:22.6,3/4,14.1,5,434(+2),[西] 加用正
3,4,5,イマスグキスミー,牝2,54,横山典弘,1:22.7,クビ,5.6,2,458(+12),[東] 矢野英一
4,3,4,フェブノヘア,牝2,54,柴山雄一,1:22.8,3/4,76.3,12,436(+4),[西] 川村禎彦
5,7,12,タカラジャンヌ,牝2,54,三浦皇成,1:22.9,1/2,127.0,13,408(-2),[東] 藤原辰雄
6,2,2,ケンタッキーミント,牝2,54,武豊,1:22.9,ハナ,8.7,4,470(+4),[東] 鹿戸雄一
7,4,6,シャイニーガール,牝2,54,幸英明,1:23.1,1.1/2,14.4,6,466(+2),[西] 湯窪幸雄
8,8,13,ウメ,牝2,54,酒井学,1:23.1,クビ,71.8,11,442(0),[西] 田所秀孝
9,6,9,シニョリーナ,牝2,54,吉田隼人,1:23.2,3/4,43.1,8,456(-2),[東] 菊川正達
10,5,7,ヴィンテージローズ,牝2,54,小牧太,1:23.3,3/4,7.3,3,422(-16),[西] 橋口弘次
11,5,8,プレシャスムーン,牝2,54,横山和生,1:23.4,1/2,222.1,14,438(0),[東] 栗田博憲
12,1,1,サグレス,牝2,54,池添謙一,1:23.5,1/2,28.3,7,440(-6),[東] 奥平雅士
13,3,3,マッドアバウトユー,牝2,54,古川吉洋,1:23.7,1.1/4,50.4,9,448(-10),[西] 木原一良
14,6,10,ダンツキャンサー,牝2,54,北村友一,1:24.3,3.1/2,57.4,10,466(-2),[西] 谷潔
