着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,ハッピーカオル,牡6,57,田辺裕信,1:11.7,,11.9,5,460(+2),[東] 加藤征弘
2,8,14,タマブラックホール,牡4,57,石橋脩,1:11.7,クビ,3.2,1,504(-10),[東] 相沢郁
3,3,4,カフェシュプリーム,牡4,57,柴田善臣,1:11.8,クビ,3.3,2,514(+2),[東] 松山康久
4,5,9,ケージーハヤブサ,牡4,57,内田博幸,1:12.2,2.1/2,7.7,4,502(0),[西] 飯田雄三
5,1,1,ダンシングマオ,牝6,55,北村宏司,1:12.2,クビ,16.7,7,474(+4),[東] 黒岩陽一
6,4,7,チャンピオンラブ,牡7,57,蛯名正義,1:12.3,3/4,37.7,9,500(+4),[東] 柄崎孝
7,6,10,トーセンナスクラ,牡5,57,ベリー,1:12.3,アタマ,14.4,6,482(0),[東] 古賀史生
8,5,8,エイコオウイング,牝5,55,横山典弘,1:12.5,3/4,7.2,3,488(+6),[東] 天間昭一
9,7,13,カフェマーシャル,牡7,57,松岡正海,1:12.6,3/4,38.1,10,510(-2),[東] 松山康久
10,8,15,チャンピオンヤマト,牡4,57,津村明秀,1:12.8,1.1/4,48.0,11,468(+6),[東] 谷原義明
11,7,12,ハンマープライス,牡7,57,木幡初広,1:12.8,アタマ,211.5,14,496(+2),[東] 杉浦宏昭
12,2,3,サマーソング,牝6,55,江田照男,1:13.2,2.1/2,70.1,12,460(-6),[西] 飯田雄三
13,6,11,フリートアロー,牡4,57,ブノワ,1:13.6,2.1/2,118.4,13,498(+4),[東] 大江原哲
14,3,5,ナムラジュエル,牝5,55,三浦皇成,1:13.6,ハナ,17.1,8,430(-18),[西] 大橋勇樹
15,4,6,ハードウォン,牡7,57,村田一誠,1:13.7,クビ,460.9,15,486(-2),[西] 西橋豊治
