着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,5,クラウンロゼ,牝3,54,三浦皇成,1:34.7,,3.6,2,450(-2),[東] 天間昭一
2,1,2,ジーニマジック,牝3,54,田中勝春,1:34.8,3/4,4.4,3,470(+4),[東] 小笠倫弘
3,8,16,サクラディソール,牝3,54,横山典弘,1:35.0,1.1/4,3.3,1,422(-6),[東] 尾関知人
4,7,14,ウリウリ,牝3,54,吉田豊,1:35.1,3/4,12.6,5,426(-12),[西] 藤原英昭
5,7,13,マカゼコイカゼ,牝3,54,田辺裕信,1:35.2,1/2,21.8,7,430(+4),[東] 小野次郎
6,6,12,ネロディアマンテ,牝3,54,石橋脩,1:35.3,3/4,6.1,4,496(-4),[東] 相沢郁
7,6,11,カスティエル,牝3,54,柴田善臣,1:35.4,クビ,39.1,9,438(+4),[東] 尾関知人
8,4,8,エバーグレーズ,牝3,54,武士沢友,1:35.8,2.1/2,118.2,12,434(-4),[東] 伊藤正徳
9,3,6,ミナレット,牝3,54,嘉藤貴行,1:35.8,クビ,320.0,16,450(-8),[東] 大和田成
10,8,15,メイショウツバクロ,牝3,54,津村明秀,1:35.9,1/2,35.3,8,464(-6),[西] 松永幹夫
11,4,7,プラティーヌ,牝3,54,北村宏司,1:36.2,1.3/4,119.4,13,454(-16),[東] 鈴木伸尋
12,1,1,ナムラビジン,牝3,54,松岡正海,1:36.4,1.1/2,19.9,6,462(-6),[東] 新開幸一
13,2,4,アイサレジョウズ,牝3,54,嶋田純次,1:36.5,1/2,74.0,10,406(+6),[東] 手塚貴久
14,2,3,ファンアットコート,牝3,54,柴田大知,1:36.6,3/4,154.1,15,450(-10),[東] 尾関知人
15,5,10,ハヤブサペコチャン,牝3,54,江田照男,1:37.3,4,97.0,11,458(-6),[東] 伊藤圭三
16,5,9,モーニングムーン,牝3,54,木幡初広,1:37.6,1.3/4,148.9,14,454(+12),[東] 高柳瑞樹
