着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,14,コパノリッキー,牡3,56,福永祐一,1:53.6,,2.8,1,528(-2),[西] 村山明
2,8,15,ロードクルセイダー,牡3,56,和田竜二,1:53.6,クビ,23.3,7,456(+2),[西] 浅見秀一
3,5,9,サトノプリンシパル,牡3,56,藤岡佑介,1:53.7,1/2,6.2,4,532(+6),[西] 矢作芳人
4,2,2,インカンテーション,牡3,56,吉田隼人,1:53.7,アタマ,32.0,9,478(+6),[西] 羽月友彦
5,3,5,マイネルクロップ,牡3,56,柴田大知,1:53.9,1.1/2,5.7,3,490(0),[西] 飯田雄三
6,7,12,ソロル,牡3,56,北村宏司,1:54.0,クビ,3.7,2,458(-12),[西] 中竹和也
7,3,4,サトノイクシード,牡3,56,吉田豊,1:54.6,3.1/2,28.7,8,516(+8),[西] 南井克巳
8,6,10,ワイルドドラゴン,牡3,56,松岡正海,1:54.7,1/2,65.5,11,504(-2),[東] 二ノ宮敬
9,1,1,アルムダプタ,牡3,57,三浦皇成,1:54.8,クビ,137.7,15,484(-4),[西] 五十嵐忠
10,6,11,ホワイトフリート,牡3,56,横山典弘,1:55.1,1.3/4,20.1,6,462(-4),[東] 久保田貴
11,5,8,ショウナンダイラ,牡3,56,田辺裕信,1:55.1,クビ,17.4,5,516(+2),[東] 二ノ宮敬
12,4,7,ピエナトップガン,牡3,56,古川吉洋,1:55.3,1,46.4,10,470(+2),[西] 田中章博
13,2,3,ドコフクカゼ,牡3,56,竹之下智,1:55.3,クビ,79.7,13,498(+6),[西] 友道康夫
14,7,13,アップトゥデイト,牡3,56,石橋脩,1:55.4,クビ,73.3,12,496(-8),[西] 佐々木晶
15,4,6,ロードクラヴィウス,牡3,56,柴田善臣,1:56.7,8,131.5,14,470(+4),[西] 安田隆行
