着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,4,アポロスターズ,牡2,54,勝浦正樹,1:09.3,,5.2,3,488(-8),[東] 堀井雅広
2,8,9,キンシノキセキ,牡2,54,吉田隼人,1:09.5,1.1/4,1.8,1,468(+4),[西] 浅見秀一
3,8,10,テルミドール,牝2,54,嘉藤貴行,1:09.5,クビ,17.2,6,404(+6),[東] 奥平雅士
4,6,6,ブルーストーン,牝2,54,蛯名正義,1:09.6,3/4,5.2,2,472(+12),[東] 伊藤圭三
5,7,7,コスモスパークル,牡2,54,丹内祐次,1:09.8,1.1/4,80.4,10,456(+8),[東] 清水美波
6,5,5,コスモマイルール,牝2,54,松岡正海,1:09.8,ハナ,61.8,9,430(+4),[東] 萱野浩二
7,1,1,コロナプリンセス,牝2,54,二本柳壮,1:09.8,クビ,39.4,7,432(-4),[東] 武市康男
8,7,8,デサフィナード,牝2,54,長岡禎仁,1:10.1,1.3/4,61.4,8,428(+4),[東] 高橋祥泰
9,3,3,エクスペリエンス,牝2,54,三浦皇成,1:10.2,3/4,10.0,4,386(+2),[東] 鹿戸雄一
10,2,2,ヴォラータ,牝2,54,内田博幸,1:10.5,2,14.2,5,418(0),[西] 清水久詞
