着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,9,リベルタス,牡5,57.5,福永祐一,2:28.8,,6.1,4,518(+28),[西] 角居勝彦
2,6,7,コウエイオトメ,牝5,55.0,四位洋文,2:29.0,1.1/2,2.7,1,482(+4),[西] 松元茂樹
3,2,2,トウシンイーグル,牡5,56.0,和田竜二,2:29.0,ハナ,5.4,3,476(+6),[西] 山内研二
4,5,6,ヤマニンアーマー,牡5,53.0,国分優作,2:29.1,3/4,90.6,10,472(+10),[西] 浅見秀一
5,6,8,タマモグランプリ,セ6,55.0,国分恭介,2:29.2,クビ,20.0,7,430(-10),[西] 川村禎彦
6,4,4,ローレルジャブラニ,牡5,54.0,幸英明,2:29.2,クビ,7.7,5,528(0),[西] 松永昌博
7,7,10,マッキーバッハ,牡8,54.0,池添謙一,2:29.4,3/4,15.4,6,486(+8),[西] 牧田和弥
8,5,5,キンセイポラリス,牡7,54.0,藤岡佑介,2:29.4,クビ,20.9,8,416(+4),[東] 伊藤大士
9,8,12,マームードイモン,牡8,56.0,丸野勝虎,2:29.5,クビ,55.0,9,448(+2),[西] 小原伊佐
10,3,3,アドマイヤパーシア,牡5,55.0,岩田康誠,2:30.1,3.1/2,5.0,2,488(+6),[西] 友道康夫
11,8,11,シンボリニース,セ6,52.0,水口優也,2:30.1,クビ,268.6,12,508(+4),[西] 荒川義之
12,1,1,キンショーオトヒメ,牝8,50.0,酒井学,2:30.2,クビ,96.9,11,458(+2),[西] 中村均
