着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,セイルラージ,牡6,57,岩田康誠,1:33.0,,4.7,3,468(-2),[西] 藤原英昭
2,4,4,ランリョウオー,牡6,57,四位洋文,1:33.1,1/2,3.5,2,470(-6),[西] 橋田満
3,5,7,ワイズリー,セ5,57,松山弘平,1:33.2,3/4,35.4,10,454(-6),[西] 松元茂樹
4,8,13,アルティシムス,牡5,57,秋山真一,1:33.2,ハナ,16.9,6,446(-6),[西] 野村彰彦
5,4,5,タマモマーブル,セ5,57,水口優也,1:33.3,3/4,23.5,7,478(-2),[西] 小原伊佐
6,6,9,タマラマ,セ4,57,武豊,1:33.4,クビ,30.6,9,494(+2),[西] 中竹和也
7,1,1,ティアップゴールド,牡7,57,幸英明,1:33.4,クビ,89.9,13,490(+12),[西] 西浦勝一
8,7,11,クッカーニャ,牝4,55,酒井学,1:33.5,クビ,27.6,8,452(0),[西] 西園正都
9,3,3,アイウォントユー,牡6,57,国分恭介,1:33.5,クビ,87.7,12,476(-2),[西] 梅田康雄
10,6,8,ショウナンラムジ,牡4,57,Ｍ．デム,1:33.6,クビ,3.1,1,504(+2),[西] 矢作芳人
11,5,6,デンコウジュピター,牡5,57,浜中俊,1:33.6,クビ,14.0,5,518(+6),[西] 佐山優
12,8,12,プレミアムブルー,牡4,57,和田竜二,1:33.6,ハナ,7.5,4,492(+2),[西] 鈴木孝志
13,7,10,タイキエイワン,牝6,55,藤田伸二,1:34.1,3,61.1,11,466(+6),[西] 田中章博
