着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,9,グレイスフルリープ,牡3,56,小牧太,1:12.3,,1.7,1,530(0),[西] 橋口弘次
2,1,1,ジョバイロ,牡3,56,Ｍ．デム,1:12.3,クビ,9.8,3,486(-2),[東] 高木登
3,3,5,ミラクルルーマー,牡3,56,川須栄彦,1:12.6,2,12.1,4,520(+4),[西] 佐山優
4,4,7,ミヤジエルビス,牡3,56,浜中俊,1:12.6,ハナ,4.1,2,494(+8),[西] 川村禎彦
5,4,8,サンライズネガノ,牡3,56,川田将雅,1:12.9,2,21.9,5,480(0),[西] 安田隆行
6,2,4,タッチシタイ,牡3,56,岩田康誠,1:13.0,クビ,40.4,8,484(+6),[西] 音無秀孝
7,6,12,シゲルホウオウザ,牡3,53,森一馬,1:13.1,3/4,80.2,11,458(-2),[西] 松永昌博
8,5,10,レディー,牝3,54,田中健,1:13.1,ハナ,161.6,13,420(+2),[西] 浅見秀一
9,8,16,ショウナンアポロン,牡3,54,菱田裕二,1:13.1,ハナ,177.9,14,490(-2),[東] 古賀史生
10,3,6,ブットバセ,牡3,56,藤田伸二,1:13.2,クビ,57.4,10,486(0),[西] 白井寿昭
11,1,2,フィールドゴーゴー,牡3,56,秋山真一,1:13.4,1.1/4,25.9,6,526(+4),[西] 野村彰彦
12,2,3,ノートゥング,牡3,53,原田敬伍,1:13.5,3/4,372.7,16,492(+2),[西] 中村均
13,6,11,シャンパンルージュ,牝3,54,川島信二,1:13.6,3/4,306.7,15,478(+2),[東] 武藤善則
14,7,14,ストゥーディアス,牝3,54,太宰啓介,1:14.0,2.1/2,54.1,9,498(+4),[西] 中村均
15,8,15,ワンダーヴィーヴァ,牡3,56,武豊,1:14.3,1.3/4,30.3,7,556(-2),[西] 笹田和秀
16,7,13,スリーカーニバル,牝3,54,和田竜二,1:14.5,1.1/4,92.6,12,462(+4),[西] 南井克巳
