着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,エディン,牝4,53.0,藤田伸二,2:15.5,,5.4,2,464(+6),[西] 白井寿昭
2,8,14,コウエイオトメ,牝5,53.0,池添謙一,2:15.7,1.1/4,37.3,9,480(0),[西] 松元茂樹
3,5,9,ピクシープリンセス,牝5,55.5,秋山真一,2:15.8,3/4,2.8,1,454(+6),[西] 野中賢二
4,4,7,エスカナール,牝5,53.0,四位洋文,2:15.8,クビ,27.5,8,480(-8),[西] 角居勝彦
5,6,10,エーティータラント,牡3,51.0,酒井学,2:15.8,アタマ,17.7,6,492(+6),[西] 木原一良
6,3,5,タニノエポレット,牡6,56.0,松山弘平,2:15.9,クビ,73.1,11,510(0),[西] 村山明
7,1,1,シルクランスロット,牡6,53.0,武豊,2:15.9,ハナ,40.2,10,518(0),[西] 増本豊
8,3,4,マイネルメダリスト,牡5,57.0,和田竜二,2:15.9,クビ,18.0,7,488(+2),[東] 田中清隆
9,8,15,ヴィクトリースター,牡5,56.0,浜中俊,2:16.1,1.1/4,7.5,5,466(0),[西] 吉村圭司
10,7,13,スマートリバティー,牡5,55.0,岩田康誠,2:16.2,クビ,6.8,4,454(+4),[西] 宮徹
11,2,3,ジェントルマン,牡5,57.0,福永祐一,2:16.2,アタマ,5.4,3,496(+14),[西] 中尾秀正
12,4,6,フミノヤマビコ,牡6,56.0,国分優作,2:16.3,3/4,111.0,14,500(+10),[西] 西浦勝一
13,7,12,タガノキャプテン,牡6,53.0,国分恭介,2:16.4,1/2,140.6,15,504(+6),[西] 川村禎彦
14,6,11,ツルミプラチナム,牡6,54.0,北村友一,2:16.4,クビ,91.6,13,476(+2),[西] 田中章博
15,5,8,メイショウジンム,牡7,54.0,小牧太,2:16.5,クビ,76.2,12,448(+4),[西] 牧浦充徳
