着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,4,マッキーバッハ,牡8,60,高田潤,3:20.5,,5.2,2,492(+8),[西] 牧田和弥
2,6,6,ノッティングボーイ,牡5,60,上野翔,3:21.0,3,12.6,5,502(-8),[東] 伊藤伸一
3,6,7,シゲルソウウン,セ6,60,平沢健治,3:21.3,1.3/4,1.5,1,540(+4),[西] 大橋勇樹
4,8,10,ラインレグルス,牡5,57,森一馬,3:21.4,3/4,10.9,4,506(+12),[西] 松永昌博
5,8,11,アルゴリズム,牡5,60,小坂忠士,3:22.0,3.1/2,7.6,3,476(+6),[西] 安田隆行
6,3,3,アイファーハイカラ,牡6,60,林満明,3:22.2,1.1/4,95.2,8,480(+10),[西] 坪憲章
7,5,5,テイエムシシーポス,牡3,58,田村太雅,3:22.3,クビ,36.8,7,480(+6),[西] 鹿戸明
8,2,2,アンジェロフォーグ,牡4,60,難波剛健,3:24.1,大,30.6,6,482(+4),[西] 目野哲也
9,1,1,ベネチアブルー,牝5,58,鈴木慶太,3:24.4,1.3/4,123.2,11,450(-16),[東] 石栗龍彦
10,7,8,ラフアウトラウド,牝3,56,小野寺祐,3:25.4,6,102.3,9,454(-2),[東] 畠山重則
11,7,9,ヤマカツポセイドン,牡4,60,北沢伸也,3:26.6,7,104.2,10,464(-2),[西] 大根田裕
