着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,8,ラブイズブーシェ,牡4,56,古川吉洋,2:02.1,,2.2,1,468(+4),[西] 村山明
2,2,4,サクラボールド,牡6,55,勝浦正樹,2:02.2,3/4,10.7,4,472(-10),[東] 菊沢隆徳
3,1,2,ドリームヒーロー,牡6,54,松田大作,2:02.3,クビ,44.3,12,438(0),[西] 鮫島一歩
4,5,10,アナバティック,牡6,56,津村明秀,2:02.3,アタマ,25.5,9,500(-4),[西] 友道康夫
5,3,6,リリエンタール,牡6,55,四位洋文,2:02.4,1/2,27.2,10,446(+2),[東] 藤沢和雄
6,1,1,マイネルグート,牡6,55,丹内祐次,2:02.4,クビ,12.9,6,522(+6),[東] 手塚貴久
7,3,5,マイネルエルフ,牡7,53,黛弘人,2:02.5,1/2,70.7,14,514(-8),[東] 鹿戸雄一
8,6,11,ミカエルビスティー,牡6,55,三浦皇成,2:02.6,クビ,70.7,15,492(-4),[東] 伊藤大士
9,4,7,セイカプレスト,牡7,53,大野拓弥,2:02.6,ハナ,121.2,16,468(+2),[東] 相沢郁
10,5,9,ポケッタブルゲーム,セ8,55,丸田恭介,2:02.6,クビ,56.2,13,466(+8),[東] 宗像義忠
11,7,14,ネオブラックダイヤ,牡5,55,藤田伸二,2:02.9,2,8.1,3,498(-2),[東] 鹿戸雄一
12,6,12,マイネマオ,牝5,52,菱田裕二,2:03.0,クビ,22.2,8,510(+12),[西] 宮本博
13,8,16,シンボリボルドー,牡6,51,木幡初広,2:03.1,1/2,42.4,11,460(-2),[東] 石毛善彦
14,8,15,ツルミプラチナム,牡6,55,柴山雄一,2:03.2,1/2,12.9,5,480(+2),[西] 田中章博
15,7,13,サフランディライト,牡5,55,川須栄彦,2:03.3,1/2,16.9,7,488(0),[西] 北出成人
16,2,3,タニノシュヴァリエ,牡4,55,秋山真一,2:03.3,クビ,6.9,2,488(+6),[西] 岡田稲男
