着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,2,ベストブルーム,牡6,57,西田雄一,1:08.9,,7.5,3,466(+2),[東] 岩戸孝樹
2,3,5,アドマイヤクーガー,牡5,57,丸山元気,1:08.9,ハナ,19.5,10,462(+4),[西] 松田博資
3,6,12,ラブグランデー,牝6,55,大野拓弥,1:08.9,クビ,6.2,2,476(+8),[東] 星野忍
4,2,4,タツフラッシュ,牡5,57,高倉稜,1:08.9,アタマ,17.8,9,484(+4),[西] 鮫島一歩
5,3,6,ユキノラムセス,牡6,57,柴山雄一,1:09.1,3/4,78.3,16,490(-4),[東] 和田正一
6,7,13,フェブムービング,牡6,57,中井裕二,1:09.2,3/4,16.0,7,494(-4),[西] 川村禎彦
7,8,15,キボウダクリチャン,牝4,55,宮崎北斗,1:09.4,1,8.2,5,444(-2),[東] 高市圭二
8,5,10,ダブルスパーク,牝4,55,川須栄彦,1:09.4,アタマ,5.6,1,454(-4),[西] 藤岡範士
9,8,16,タイヨウパフューム,牝5,55,菱田裕二,1:09.4,クビ,16.2,8,388(0),[西] 岡田稲男
10,8,17,ニュアージゲラン,牝4,55,黛弘人,1:09.5,クビ,8.0,4,450(-10),[東] 大久保洋
11,6,11,スピログラフ,牡5,57,北村友一,1:09.5,ハナ,21.2,12,492(0),[西] 大久保龍
12,4,8,アルドワーズ,牡5,57,中舘英二,1:09.5,クビ,20.8,11,454(+10),[西] 村山明
13,2,3,サンライズポパイ,牡5,57,勝浦正樹,1:09.6,クビ,9.5,6,464(+4),[西] 羽月友彦
14,1,1,アースツリー,牝6,55,古川吉洋,1:09.6,ハナ,25.5,13,440(-10),[西] 田中章博
15,5,9,オウケンハナミズキ,牝4,55,松田大作,1:09.7,1/2,33.0,14,408(+2),[西] 牧浦充徳
16,7,14,エステージャ,牝4,55,松山弘平,1:09.8,1/2,41.3,15,408(-19),[東] 加藤和宏
17,4,7,クラウンハッピー,牝5,55,上野翔,1:09.8,クビ,219.6,17,430(-2),[東] 小野次郎
