着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,5,ヒットザターゲット,牡5,57,大野拓弥,1:46.4,,10.6,6,512(-2),[西] 加藤敬二
2,1,2,ダコール,牡5,55,丸田恭介,1:46.4,アタマ,5.5,2,456(-6),[西] 中竹和也
3,6,12,ダローネガ,牡4,55,北村友一,1:46.7,1.3/4,9.6,5,492(-8),[西] 佐々木晶
4,3,6,マルカボルト,牡6,55,吉田隼人,1:46.7,ハナ,7.0,3,490(-4),[西] 羽月友彦
5,1,1,パッションダンス,牡5,55,川田将雅,1:46.7,ハナ,3.5,1,512(+2),[西] 友道康夫
6,8,15,ゲシュタルト,牡6,57,勝浦正樹,1:46.8,クビ,14.5,7,516(+4),[西] 長浜博之
7,2,3,ダイワズーム,牝4,52,北村宏司,1:46.8,アタマ,19.7,9,464(+2),[東] 鹿戸雄一
8,2,4,シャイニーホーク,牡5,54,小牧太,1:47.0,1.1/4,18.7,8,516(-12),[西] 橋口弘次
9,5,10,マイネルスターリー,牡8,56,丹内祐次,1:47.0,クビ,151.6,15,486(+12),[東] 田中剛
10,7,14,サトノパンサー,牡5,54,松田大作,1:47.1,クビ,20.9,10,496(-2),[西] 南井克巳
11,5,9,テイエムアンコール,牡9,55,丸山元気,1:47.1,クビ,38.2,12,466(0),[西] 柴田政見
12,7,13,コウセイコタロウ,牡4,54,黛弘人,1:47.2,3/4,39.2,13,496(-4),[東] 中野栄治
13,8,16,ミッキードリーム,牡6,57,松山弘平,1:47.3,1/2,30.8,11,480(-4),[西] 音無秀孝
14,4,7,キングストリート,牡7,55,酒井学,1:47.4,クビ,45.6,14,494(+2),[西] 西園正都
15,4,8,コパノジングー,牡8,54,中舘英二,1:47.4,クビ,218.1,16,514(-4),[西] 宮徹
16,6,11,エクスペディション,牡6,57,川須栄彦,1:47.5,3/4,8.7,4,448(-4),[西] 石坂正
