着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,15,ドラゴンサクラ,牝3,54,勝浦正樹,1:09.1,,5.4,3,428(0),[西] 森秀行
2,5,9,ジャパンイモン,牝3,54,黛弘人,1:09.3,1.1/4,4.0,1,434(0),[東] 尾関知人
3,4,8,エイティグローリー,牝3,54,丸山元気,1:09.3,ハナ,15.0,8,412(-12),[西] 坂口正則
4,7,14,コアレスドラゴン,牡3,56,藤岡康太,1:09.4,3/4,9.1,5,486(0),[西] 羽月友彦
5,6,12,シゲルトビウオザ,牡3,56,武幸四郎,1:09.4,アタマ,43.4,12,486(-6),[西] 中村均
6,1,1,タニセンダイナスト,牡3,56,吉田隼人,1:09.5,クビ,11.8,6,454(-2),[東] 萱野浩二
7,8,16,キルト,牡3,53,中井裕二,1:09.5,アタマ,6.7,4,400(-2),[西] 木原一良
8,2,3,マリンルック,牝3,54,丸田恭介,1:09.5,ハナ,29.3,10,420(-4),[西] 中竹和也
8,8,17,シゲルヘビザ,牡3,56,松山弘平,1:09.5,同着,19.0,9,482(0),[西] 鈴木孝志
10,5,10,エイプリルメロディ,牝3,54,大野拓弥,1:09.7,1.1/4,35.6,11,446(0),[東] 小笠倫弘
11,2,4,タニノセレナーデ,牝3,52,菱田裕二,1:09.9,1.1/4,14.8,7,416(+4),[西] 岡田稲男
12,3,6,ラガーライオン,牡3,56,古川吉洋,1:10.1,1.1/4,198.0,15,464(+2),[西] 柴田政見
13,7,13,マインユアーズ,牝3,51,横山和生,1:10.2,3/4,268.2,16,430(-10),[東] 的場均
14,1,2,ライブリクリール,牡3,56,北村友一,1:10.3,1/2,5.4,2,456(-2),[西] 沖芳夫
15,6,11,デンコウショウイン,牡3,53,水口優也,1:10.4,1/2,180.4,14,452(-6),[西] 佐山優
16,4,7,ホノオノマイ,牝3,54,丹内祐次,1:10.5,1/2,163.5,13,442(+6),[東] 田中剛
17,3,5,ヨベルシチー,牡3,54,西村太一,1:10.7,1.1/4,274.3,17,454(+18),[東] 谷原義明
18,8,18,シゲルクジャクザ,牝3,54,村田一誠,1:11.0,2,354.3,18,440(-7),[西] 藤沢則雄
