着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,4,デインツリー,牡3,53,中井裕二,1:48.7,,2.9,1,480(0),[西] 長浜博之
2,6,8,シャイニングタイム,牝3,54,丸山元気,1:48.9,1.1/2,14.0,6,416(0),[西] 荒川義之
3,8,12,トーホウスマート,牡3,56,鮫島良太,1:48.9,アタマ,3.3,2,476(0),[西] 藤原英昭
4,7,10,ナリタアップスター,牡3,56,中舘英二,1:49.0,1/2,101.6,12,432(0),[西] 小野幸治
5,7,9,マンノアクトレス,牝3,52,菱田裕二,1:49.4,2.1/2,14.4,8,426(0),[西] 角田晃一
6,8,11,トレザイール,牡3,56,吉田隼人,1:49.6,1.1/4,6.6,3,500(0),[西] 笹田和秀
7,1,1,サダムサロペット,牝3,54,川須栄彦,1:49.8,1,13.3,5,476(0),[西] 松永幹夫
8,2,2,オンワードナルシス,牡3,56,松山弘平,1:50.1,1.3/4,38.7,10,474(0),[西] 村山明
9,3,3,マコトラヴィッサン,牝3,54,勝浦正樹,1:50.3,1.1/2,51.6,11,436(0),[西] 松田国英
10,5,6,リュクスエンブレム,牝3,54,丸田恭介,1:50.4,1/2,38.0,9,398(0),[西] 荒川義之
11,5,5,フェブサクセス,牡3,56,上村洋行,1:51.5,7,10.7,4,458(0),[西] 湯窪幸雄
12,6,7,クーファチック,牝3,54,松田大作,1:51.6,1/2,14.1,7,502(0),[西] 松永昌博
