着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,テイエムタイホー,牡4,57,松田大作,1:08.6,,17.0,7,474(-4),[西] 鈴木孝志
2,1,2,アグネスマチュア,牡4,57,勝浦正樹,1:08.7,3/4,5.2,2,484(-2),[西] 長浜博之
3,5,10,スピードルーラー,牡4,57,西田雄一,1:09.0,1.3/4,34.1,12,508(-2),[東] 二ノ宮敬
4,4,7,ナガレボシイチバン,牡6,57,伊藤工真,1:09.1,1/2,28.1,11,474(-4),[東] 金成貴史
5,6,12,サウスビクトル,牡4,57,丸田恭介,1:09.2,3/4,3.2,1,462(-6),[東] 久保田貴
6,1,1,ダイキチチョウナン,牡5,57,黛弘人,1:09.2,クビ,205.2,17,484(-2),[東] 武市康男
7,8,16,ユキノアイオロス,セ5,57,吉田隼人,1:09.3,3/4,11.5,6,466(-4),[東] 和田正道
8,7,13,ナムラシンシン,牝4,55,宮崎北斗,1:09.4,1/2,262.9,18,436(-2),[東] 大和田成
9,8,18,ユールフェスト,牝4,54,中井裕二,1:09.4,ハナ,22.0,9,454(+4),[西] 須貝尚介
10,5,9,ゴーゲッター,牡6,57,古川吉洋,1:09.4,クビ,10.1,5,528(-16),[西] 南井克巳
11,2,4,ラブグランデー,牝6,55,大野拓弥,1:09.5,1/2,8.2,4,474(-2),[東] 星野忍
12,4,8,ボールドマックス,牡4,57,北村友一,1:09.5,クビ,192.0,16,450(-6),[西] 千田輝彦
13,6,11,タツフラッシュ,牡5,57,高倉稜,1:09.7,1.1/2,7.7,3,484(0),[西] 鮫島一歩
14,7,15,ダブルスパーク,牝4,55,川須栄彦,1:09.8,クビ,26.0,10,448(-6),[西] 藤岡範士
15,3,6,フェブムービング,牡6,57,中舘英二,1:09.8,クビ,35.4,13,490(-4),[西] 川村禎彦
16,7,14,ノボプレシャス,牝4,55,大庭和弥,1:09.9,1/2,99.0,14,472(-6),[東] 天間昭一
17,8,17,オリーブジュエル,牝4,55,菱田裕二,1:10.1,1.1/4,21.6,8,442(-14),[西] 岡田稲男
18,3,5,キボウノチカラ,牡4,57,二本柳壮,1:10.1,ハナ,104.0,15,464(+2),[東] 二本柳俊
