着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,ラブラドライト,セ4,56,松山弘平,2:42.9,,3.2,2,480(-6),[西] 音無秀孝
2,4,4,マイネルテンクウ,牡4,56,丹内祐次,2:42.9,クビ,13.1,5,510(+2),[東] 手塚貴久
3,8,11,ローリングストーン,牡4,56,丸田恭介,2:43.0,3/4,16.5,6,498(-6),[東] 相沢郁
4,6,6,カーマイン,牡5,57,北村友一,2:43.1,クビ,9.4,4,466(+2),[西] 石坂正
5,2,2,ゴットマスタング,牡5,57,中舘英二,2:43.5,2.1/2,2.0,1,468(+6),[西] 木原一良
6,7,9,メジロダイボサツ,牡5,57,黛弘人,2:43.5,アタマ,9.3,3,454(-6),[東] 大久保洋
7,7,8,マイネルアクロス,牡4,56,中井裕二,2:43.7,1.1/4,18.5,7,462(-2),[西] 宮本博
8,1,1,クリーンメタボ,牡5,57,川須栄彦,2:43.8,1/2,105.5,8,468(-4),[東] 清水英克
9,8,10,リッカタキシード,牡6,57,丸山元気,2:44.0,1.1/2,110.2,9,450(0),[西] 藤沢則雄
10,6,7,ムカワタイガー,牡5,57,柴山雄一,2:45.2,7,273.5,11,456(-4),[東] 石栗龍彦
11,5,5,シンワカントリー,牡5,57,菱田裕二,2:46.4,7,195.7,10,508(+2),[西] 武宏平
