着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,16,ダイワインスパイア,牡4,57,北村宏司,1:08.9,,12.4,6,476(0),[東] 池上昌弘
2,7,15,リアリーラヴユー,牝5,55,戸崎圭太,1:09.1,1.1/4,13.1,8,468(0),[東] 国枝栄
3,1,1,バーニングハート,牝3,52,松岡正海,1:09.1,クビ,9.6,4,434(0),[東] 堀井雅広
4,8,18,イヴピアジェ,牝3,52,福永祐一,1:09.2,クビ,7.7,3,442(-6),[東] 和田正道
5,6,11,チェリーペトルズ,牝3,52,岩田康誠,1:09.2,クビ,3.1,1,460(+8),[東] 国枝栄
6,6,12,ラパージュ,牝4,55,内田博幸,1:09.3,1/2,5.8,2,458(0),[東] 田村康仁
7,1,2,キネオリリー,牝3,52,江田照男,1:09.3,アタマ,86.2,13,504(-4),[東] 牧光二
8,7,13,グラントリノ,牝4,55,武士沢友,1:09.3,クビ,137.8,15,432(-6),[東] 浅野洋一
9,4,8,プレイアップ,牝3,52,高倉稜,1:09.4,1/2,24.3,11,436(+14),[東] 古賀史生
10,7,14,ローレルエナジー,牡4,57,田中勝春,1:09.5,3/4,20.9,10,506(+6),[東] 和田正道
11,5,9,サウスノーブル,牝5,55,柴田善臣,1:09.5,アタマ,13.0,7,490(-2),[東] 高橋祥泰
12,2,4,ベルウッドシーマ,牡3,54,平野優,1:09.6,クビ,162.9,16,508(+2),[東] 二ノ宮敬
13,3,6,ハニームーナー,牝3,49,花田大昂,1:09.6,ハナ,119.3,14,420(-12),[東] 伊藤圭三
14,2,3,ハプスブルク,牡3,54,横山典弘,1:09.6,クビ,12.0,5,438(+2),[東] 佐藤吉勝
14,3,5,プレミアムカード,セ5,57,柴田大知,1:09.6,同着,81.5,12,454(+4),[東] 清水英克
16,5,10,デイジーバローズ,牝4,55,蛯名正義,1:09.7,クビ,15.4,9,470(+2),[東] 尾形和幸
17,4,7,マンセイグレネード,牡3,52,杉原誠人,1:10.0,2,240.9,17,470(-6),[東] 高市圭二
18,8,17,ウイングオブソング,牝4,52,山崎亮誠,1:10.3,2,299.0,18,426(-18),[東] 栗田徹
