着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,5,インカンテーション,牡3,56,大野拓弥,1:50.3,,3.3,1,486(+8),[西] 羽月友彦
2,4,7,サトノプリンシパル,牡3,56,蛯名正義,1:50.7,2.1/2,5.7,4,544(+12),[西] 矢作芳人
3,6,11,ケイアイレオーネ,牡3,56,幸英明,1:50.9,1.1/2,4.8,2,548(0),[西] 西浦勝一
4,7,12,ジェベルムーサ,牡3,56,田辺裕信,1:51.3,2.1/2,5.1,3,550(-6),[東] 大竹正博
5,2,2,ドコフクカゼ,牡3,56,竹之下智,1:51.5,1.1/4,136.3,13,496(+2),[西] 友道康夫
6,4,6,シグナルプロシード,牡3,56,内田博幸,1:51.7,1.1/2,12.8,6,514(0),[西] 高橋義忠
7,2,3,オメガインベガス,牝3,54,戸崎圭太,1:52.0,1.3/4,19.3,8,488(-4),[東] 堀宣行
8,6,10,リキサンステルス,牡3,56,北村宏司,1:52.3,1.3/4,31.3,9,488(+6),[東] 奥平雅士
9,1,1,アムールポエジー,牝3,54,岩田康誠,1:52.4,1/2,10.1,5,488(+3),[西] 野中賢二
10,7,13,モリトリュウコ,牡3,56,武士沢友,1:52.4,アタマ,79.8,11,472(-2),[東] 水野貴広
11,8,15,ハイパーチャージ,牡3,56,横山典弘,1:52.7,1.3/4,18.3,7,508(+8),[東] 萩原清
12,3,4,カリスマサンタイム,牡3,56,高倉稜,1:53.0,2,252.9,15,494(+2),[西] 崎山博樹
13,5,8,カノン,牝3,54,江田照男,1:53.0,ハナ,88.4,12,454(+2),[西] 崎山博樹
14,5,9,アドマイヤイバマ,牡3,56,田中勝春,1:53.1,クビ,224.1,14,476(+4),[西] 友道康夫
15,8,14,タイセイバスター,牡3,56,小牧太,1:53.9,5,49.4,10,506(+6),[西] 大橋勇樹
