着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,8,メイケイペガスター,牡3,56,横山典弘,1:46.0,,5.6,4,490(-8),[西] 木原一良
2,7,7,ゴットフリート,牡3,56,ビュイッ,1:46.2,1.1/2,4.0,2,468(-2),[東] 斎藤誠
3,4,4,マイネルストラーノ,牡3,56,柴田大知,1:46.3,1/2,40.8,9,454(-4),[東] 手塚貴久
4,1,1,ラウンドワールド,牡3,56,岩田康誠,1:46.4,1/2,3.2,1,444(-2),[西] 松田博資
5,2,2,マンボネフュー,牡3,56,蛯名正義,1:46.4,クビ,4.7,3,464(-4),[東] 国枝栄
6,6,6,トウシンモンステラ,牡3,56,ブノワ,1:46.6,1.1/2,86.9,10,478(0),[西] 村山明
7,3,3,ザラストロ,牡3,57,松岡正海,1:46.7,クビ,26.7,8,484(0),[東] 武藤善則
8,8,10,ケイアイチョウサン,牡3,56,三浦皇成,1:47.1,2.1/2,15.8,6,438(-8),[東] 小笠倫弘
9,8,9,クロスボウ,牡3,56,吉田豊,1:47.8,4,8.7,5,522(-8),[東] 大久保洋
10,5,5,マイネルマエストロ,牡3,56,津村明秀,1:48.0,1.1/2,18.6,7,476(-4),[西] 西園正都
