着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,9,セイカペガサス,牡6,60,大江原圭,3:20.9,,6.6,3,480(+2),[東] 南田美知
2,2,2,カシマシンセイ,牡4,59,山本康志,3:21.5,3.1/2,14.7,6,506(-2),[東] 松山康久
3,5,7,ブリッサ,牝4,57,上野翔,3:21.5,クビ,153.1,11,480(0),[東] 畠山重則
4,8,13,タイセイクライマー,セ5,60,石神深一,3:22.5,6,2.9,1,464(+2),[東] 池上昌弘
5,3,3,トーセンタイガー,牡5,60,小野寺祐,3:22.7,1.1/4,2.9,2,514(0),[東] 菅原泰夫
6,5,6,プロジェクトブルー,牡6,60,草野太郎,3:23.0,1.3/4,110.4,10,512(-8),[東] 星野忍
7,7,10,ウマテック,牡5,60,高野和馬,3:23.3,1.3/4,12.1,5,458(-8),[東] 二ノ宮敬
8,4,4,パリスブルー,牝6,58,金子光希,3:23.3,クビ,31.0,8,462(+12),[東] 小野次郎
9,7,11,ニシノファブレッド,牡5,60,浜野谷憲,3:24.6,8,7.5,4,490(+2),[東] 根本康広
10,6,8,ラインミッシェル,牝4,57,原田和真,3:24.7,クビ,273.8,13,452(0),[東] 根本康広
11,8,12,エーブポセイドーン,牡5,60,五十嵐雄,3:25.4,4,36.5,9,508(-4),[東] 清水美波
12,1,1,クールバニヤン,牡9,60,江田勇亮,3:26.0,3.1/2,231.6,12,438(+4),[東] 高橋文雅
13,4,5,ヴェルティゴ,牡4,59,蓑島靖典,3:26.3,2,24.3,7,496(-2),[東] 尾関知人
