着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,7,エクセラントカーヴ,牝4,55,戸崎圭太,1:34.0,,3.5,1,422(0),[東] 堀宣行
2,7,9,ウインクリアビュー,牝6,55,三浦皇成,1:34.1,1/2,3.7,2,458(+6),[東] 鈴木伸尋
3,5,5,チャーチクワイア,牝4,55,北村宏司,1:34.3,1.1/2,4.5,3,462(0),[東] 古賀慎明
4,3,3,マイネヒメル,牝4,55,武士沢友,1:34.6,1.3/4,57.6,11,470(+10),[東] 菊沢隆徳
5,5,6,ショウナンマハ,牝5,55,横山典弘,1:34.6,ハナ,10.1,5,454(+10),[西] 須貝尚介
6,6,8,マイネイディール,牝5,55,丹内祐次,1:34.8,1.1/4,17.0,6,498(+2),[東] 高木登
7,2,2,ウイングドウィール,牝4,55,田中勝春,1:34.8,アタマ,6.2,4,480(+8),[東] 宗像義忠
8,8,11,ファーゴ,牝4,55,石橋脩,1:34.9,1/2,28.4,8,420(-2),[東] 宗像義忠
9,4,4,ルネッタアスール,牝4,52,横山和生,1:35.0,1/2,19.6,7,472(+2),[東] 武藤善則
10,7,10,ラヴィーズバード,牝4,55,田辺裕信,1:35.3,1.3/4,41.8,10,436(+4),[東] 手塚貴久
11,8,12,アルディートプリエ,牝4,53,杉原誠人,1:35.3,クビ,40.9,9,504(+20),[東] 松山将樹
12,1,1,プルプル,牝7,55,大庭和弥,1:35.9,3.1/2,339.7,12,444(-2),[東] 成島英春
