着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,15,ステラウインド,牡4,56,蛯名正義,2:26.2,,3.7,2,466(-4),[東] 尾関知人
2,7,13,レオプログレス,牡8,55,田辺裕信,2:26.3,3/4,7.3,4,464(0),[東] 萱野浩二
3,5,8,スーサングレート,牡5,56,松山弘平,2:26.3,ハナ,19.9,7,510(0),[西] 鈴木孝志
4,2,3,カムフィー,牡4,56,横山典弘,2:26.4,クビ,5.0,3,462(-2),[東] 鈴木康弘
5,3,4,ファルスター,牡5,55,内田博幸,2:26.4,クビ,3.1,1,494(-4),[西] 友道康夫
6,4,6,ドリームゴスペル,牡6,55,武士沢友,2:26.7,2,40.3,10,532(-4),[東] 堀井雅広
7,4,7,マイネルリヒト,牡4,54,柴田大知,2:27.0,2,26.0,8,476(+4),[東] 松山将樹
8,6,10,ハイリリー,牝4,53,三浦皇成,2:27.1,クビ,11.2,5,452(+2),[東] 尾形充弘
9,1,1,ラクリモーサ,牝4,52,戸崎圭太,2:27.1,クビ,17.5,6,432(+2),[東] 田島俊明
10,7,12,ヤマニンアーマー,牡5,53,高倉稜,2:27.2,1/2,95.2,12,458(-6),[西] 浅見秀一
11,3,5,カンタベリーナイト,牡4,54,江田照男,2:27.3,クビ,76.9,11,494(0),[東] 二本柳俊
12,2,2,ロードアイアン,牡7,54,福永祐一,2:27.4,1/2,171.7,13,486(-10),[東] 菊川正達
13,8,14,ウインフロレゾン,牝4,52,吉田豊,2:27.5,3/4,30.0,9,464(+4),[東] 粕谷昌央
14,5,9,マイネルナロッサ,牝6,50,酒井学,2:28.1,3.1/2,242.3,14,468(+2),[東] 畠山重則
15,6,11,ブリリアントシチー,牡6,52,村田一誠,2:30.6,大,430.2,15,524(0),[西] 作田誠二
