着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,14,キョウエイバサラ,牡5,57,浜中俊,1:21.1,,6.6,3,518(+2),[西] 矢作芳人
2,4,6,トシザグレイト,牡4,57,田中勝春,1:21.3,1.1/4,7.4,4,468(-6),[東] 天間昭一
3,2,2,ゴールドカルラ,牝5,55,田辺裕信,1:21.3,クビ,13.6,8,518(+6),[東] 高木登
4,7,12,チェリーヒロイン,牝4,55,石橋脩,1:21.3,ハナ,9.8,6,412(+4),[東] 和田正一
5,4,5,モンテフジサン,牡6,57,戸崎圭太,1:21.4,クビ,9.5,5,488(+14),[東] 松山康久
6,3,4,チャーチクワイア,牝4,55,北村宏司,1:21.4,ハナ,4.7,1,462(0),[東] 古賀慎明
7,3,3,マイネルハイセンス,牡5,57,三浦皇成,1:21.4,ハナ,14.2,9,482(+4),[東] 清水英克
8,1,1,ダブルオーセブン,牡5,57,吉田豊,1:21.4,クビ,113.1,14,492(0),[東] 古賀史生
9,8,13,シャンボールフィズ,牝4,55,内田博幸,1:21.6,1.1/4,5.2,2,434(-2),[東] 小島太
10,5,7,ドラゴンライズ,牡5,57,柴田善臣,1:21.9,1.3/4,78.8,12,488(+6),[東] 久保田貴
11,7,11,コリーヌ,牝4,55,横山典弘,1:22.1,1.1/4,21.8,11,446(0),[東] 和田正道
12,5,8,シェルエメール,牝5,55,蛯名正義,1:22.2,1/2,13.3,7,440(-4),[西] 鈴木孝志
13,6,10,サトノロック,牡6,57,柴山雄一,1:22.2,クビ,106.6,13,478(-2),[東] 国枝栄
14,6,9,マイネルアダマス,牡4,57,柴田大知,1:22.3,3/4,14.2,10,420(+2),[東] 菅原泰夫
