着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,4,ダノンジェラート,牡4,57,三浦皇成,1:59.9,,1.9,1,486(+12),[東] 萩原清
2,6,9,ディオベルタ,牝4,55,蛯名正義,2:00.1,1.1/2,5.6,3,450(-6),[東] 小島茂之
3,7,12,カムフィー,牡4,57,横山典弘,2:00.2,3/4,5.4,2,462(0),[東] 鈴木康弘
4,2,2,ブライトボーイ,牡4,57,吉田隼人,2:00.3,クビ,31.5,8,472(+2),[東] 尾形充弘
5,5,7,アーカイブ,牡4,57,戸崎圭太,2:00.6,1.3/4,9.5,4,488(-8),[東] 堀宣行
6,1,1,ニシノボレロ,牡4,57,田辺裕信,2:00.7,クビ,15.2,5,486(-2),[東] 杉浦宏昭
7,8,13,コスモバルバラ,牝4,55,松岡正海,2:00.9,1.1/2,74.9,10,446(+6),[東] 尾関知人
8,8,14,ボーイフレンド,牡4,57,福永祐一,2:00.9,アタマ,18.8,7,442(0),[西] 森秀行
9,4,6,コスモラングデン,牝5,55,丹内祐次,2:01.0,1/2,198.3,14,506(-4),[東] 清水美波
10,3,3,ウエスタンディオ,牡6,57,内田博幸,2:01.0,クビ,17.4,6,480(+2),[西] 千田輝彦
11,7,11,クリノチョモラーリ,牝3,52,北村宏司,2:01.2,1.1/2,196.9,13,476(+16),[東] 高橋義博
12,6,10,ヒシサイレンス,牡3,54,ウィリア,2:01.4,1.1/2,55.8,9,452(0),[東] 小笠倫弘
13,5,8,マイネルカーミン,牡4,57,柴田大知,2:01.5,クビ,132.9,11,494(+4),[東] 中野栄治
14,4,5,クラウンアトラス,牡3,54,丸山元気,2:02.1,3.1/2,134.8,12,478(-4),[東] 田島俊明
