着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,11,カムフィー,牡4,57,横山典弘,1:47.0,,2.3,1,464(+2),[東] 鈴木康弘
2,6,6,ユールシンギング,牡3,54,北村宏司,1:47.2,1.1/2,5.7,3,518(-12),[東] 勢司和浩
3,7,9,ジェラテリアバール,牝3,52,戸崎圭太,1:47.4,1,8.6,5,484(-4),[東] 堀宣行
4,1,1,ボーイフレンド,牡4,57,石橋脩,1:47.4,ハナ,7.9,4,448(+6),[西] 森秀行
5,7,8,マイネルコランダム,牡4,57,柴田大知,1:47.6,1.1/4,21.2,6,464(-6),[東] 伊藤大士
6,5,5,トシザグレイト,牡4,57,吉田豊,1:47.6,クビ,4.2,2,468(0),[東] 天間昭一
7,8,10,ノーヒッター,牡3,54,松岡正海,1:47.7,1/2,28.9,7,466(-16),[東] 小野次郎
8,4,4,ロジテール,牡4,57,武士沢友,1:47.7,クビ,29.3,8,472(-2),[東] 萩原清
9,3,3,トキノサコン,牡5,57,江田照男,1:47.8,1/2,49.0,10,492(+6),[東] 矢野照正
10,6,7,ダイワフェーム,牡3,54,田辺裕信,1:49.1,8,42.0,9,452(+2),[東] 池上昌弘
11,2,2,ガッツオブトップ,牝3,52,吉原寛人,1:50.3,7,198.5,11,460(+13),[地] 岩切敏男
