着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,10,ダイチトゥルース,牡2,55,武士沢友,1:38.0,,28.5,11,436(-6),[東] 蛯名利弘
2,2,3,セイウンクロス,牡2,55,田辺裕信,1:38.3,2,14.7,7,420(-2),[東] 武藤善則
3,3,6,アースコネクター,牡2,55,横山典弘,1:38.5,1.1/4,6.4,3,490(-2),[東] 和田正道
4,7,13,ルイカズマ,牡2,55,メンディ,1:38.8,1.3/4,4.4,2,476(-2),[西] 西浦勝一
5,1,1,メイショウスミトモ,牡2,55,大野拓弥,1:39.0,1.1/2,25.8,10,464(-12),[西] 南井克巳
6,7,14,グラスプリマ,牝2,54,柴田善臣,1:39.0,クビ,8.6,4,504(-2),[東] 尾形充弘
7,5,9,ペガサスジュニア,牡2,55,吉田豊,1:39.1,クビ,18.1,8,488(0),[東] 大久保洋
8,2,4,ダンツキャッチ,牡2,55,北村宏司,1:39.5,2.1/2,10.0,6,498(-4),[西] 山内研二
9,3,5,マルカロゼッタ,牡2,55,内田博幸,1:39.5,クビ,4.4,1,486(+8),[西] 今野貞一
10,6,12,ディアゴッホ,牡2,55,勝浦正樹,1:39.8,1.3/4,58.5,13,508(+16),[東] 高橋裕
11,4,8,ファンファーレ,牝2,54,後藤浩輝,1:39.9,クビ,49.6,12,460(-8),[東] 武市康男
12,8,16,パブロワ,牝2,54,吉田隼人,1:40.2,2,8.9,5,506(0),[東] 斎藤誠
13,6,11,ウイングラビティ,牡2,55,松岡正海,1:41.0,5,96.0,16,472(+10),[東] 武市康男
14,1,2,ハツガツオ,牝2,54,柴山雄一,1:41.6,3.1/2,61.5,14,478(+14),[東] 石栗龍彦
15,4,7,メイプルレジェンド,牡2,55,田中勝春,1:41.6,クビ,24.7,9,488(0),[東] 宗像義忠
16,8,15,ウインイルソーレ,牡2,55,三浦皇成,1:42.2,3.1/2,66.6,15,472(-8),[東] 高橋祥泰
