着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,サングップ,牡5,57,菱田裕二,1:47.0,,8.6,5,490(-4),[西] 浜田多実
2,6,6,ロベルクランツ,牡4,57,勝浦正樹,1:47.2,1.1/2,6.8,4,428(+6),[東] 和田雄二
3,7,9,グレイスフラワー,牝4,55,丸山元気,1:47.4,1.1/4,9.0,6,466(-2),[東] 宗像義忠
4,3,3,アドマイヤバートン,牡5,57,吉田隼人,1:47.6,1.1/4,4.0,1,482(-12),[西] 松田博資
5,5,5,インプレザリオ,牡5,57,村田一誠,1:47.7,1/2,4.4,2,504(+12),[東] 戸田博文
6,4,4,サングブルー,牡3,55,川須栄彦,1:47.8,1/2,16.0,7,452(0),[東] 上原博之
7,2,2,シゲルヘビザ,牡3,55,岡田祥嗣,1:48.1,2,37.8,11,494(0),[西] 鈴木孝志
8,8,11,マイネルオリンポス,牡3,55,伊藤工真,1:48.1,クビ,18.9,8,408(-2),[東] 鹿戸雄一
9,6,7,タガノバスター,牡3,55,柴山雄一,1:48.3,1.1/4,5.0,3,470(0),[西] 千田輝彦
10,7,8,ミエノハートハート,牡3,55,中舘英二,1:49.1,5,34.4,10,424(+4),[東] 尾関知人
11,8,10,マツリダジャパン,セ6,57,黛弘人,1:50.2,7,26.7,9,468(+6),[東] 加藤和宏
