着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,11,ランウェイワルツ,牡2,55,戸崎圭太,1:26.4,,153.8,13,488(+18),[西] 音無秀孝
2,5,8,メイショウシンシア,牡2,55,武豊,1:26.7,1.3/4,12.5,4,434(+4),[西] 松永昌博
3,8,15,グラナディラ,牝2,54,幸英明,1:26.9,1,28.9,7,512(-2),[西] 西浦勝一
4,6,10,ベストルーラー,牡2,55,岩田康誠,1:26.9,ハナ,2.1,1,488(-4),[西] 石坂正
5,3,5,ビタミンエース,牡2,55,太宰啓介,1:26.9,クビ,27.2,6,500(+2),[西] 本田優
6,2,2,アンズチャン,牝2,54,ルメール,1:27.1,1.1/4,6.1,3,456(-8),[東] 大和田成
7,8,14,エイシンキサナドゥ,牡2,55,福永祐一,1:27.1,ハナ,3.0,2,526(-6),[西] 野中賢二
8,7,12,ラフィネシチー,牝2,54,浜中俊,1:27.2,1/2,25.3,5,448(-6),[西] 岡田稲男
9,1,1,ケンブリッジギルド,牡2,55,後藤浩輝,1:27.2,クビ,115.0,11,460(+8),[西] 山内研二
10,3,4,セレッソレアル,牝2,54,酒井学,1:27.5,1.3/4,86.7,10,462(-4),[西] 松元茂樹
11,5,9,グランベラミ,牝2,54,内田博幸,1:27.5,クビ,138.7,12,438(-10),[西] 森秀行
12,2,3,プロスパー,牡2,55,小牧太,1:28.1,3.1/2,51.2,9,472(+2),[西] 白井寿昭
13,4,7,ニューヘリテージ,牡2,55,津村明秀,1:28.3,1.1/4,37.7,8,472(-4),[西] 昆貢
14,7,13,クリノジュロウジン,牡2,55,川原正一,1:28.4,3/4,502.2,15,456(-2),[西] 川村禎彦
15,4,6,クリノプリムラ,牝2,54,国分恭介,1:28.7,2,477.9,14,428(+4),[西] 梅内忍
