着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,4,ウエスタンレベッカ,牝3,55,ヒューズ,2:00.5,,28.0,11,426(-4),[西] 崎山博樹
2,2,3,シャイニーハーツ,牡3,57,シュタル,2:00.7,1.1/2,6.8,4,464(-2),[西] 佐々木晶
3,6,10,ウインアルザス,牡3,57,スマレン,2:00.8,1/2,13.6,6,502(0),[西] 西園正都
4,7,12,マイネルシュライ,牡5,58,内田博幸,2:00.8,ハナ,21.8,8,484(-14),[東] 鹿戸雄一
5,5,9,タガノレイヨネ,牡4,58,ウィリア,2:00.8,クビ,6.2,3,508(+6),[西] 本田優
6,4,6,ヒロノプリンス,牡3,57,福永祐一,2:01.0,1,21.2,7,458(-2),[西] 村山明
7,7,13,ニシノテキーラ,牝5,56,戸崎圭太,2:01.0,クビ,34.8,13,476(+8),[西] 浅見秀一
8,8,15,タイキプレミアム,牡4,58,ムーア,2:01.0,アタマ,4.3,2,478(+6),[西] 池江泰寿
9,5,8,コモノドラゴン,牡5,58,岩田康誠,2:01.2,1,24.6,9,476(-10),[西] 加藤敬二
10,6,11,セトノフラッパー,牝3,55,ホワイト,2:01.3,1/2,30.0,12,440(+8),[西] 南井克巳
11,4,7,サダムロードショー,牡3,57,浜中俊,2:01.3,クビ,3.8,1,456(-4),[西] 中尾秀正
12,2,2,タンスチョキン,牝3,55,スティー,2:01.4,クビ,194.2,15,462(0),[西] 谷潔
13,1,1,エアポートメサ,牡5,58,川田将雅,2:01.4,クビ,26.3,10,458(+6),[西] 小原伊佐
14,3,5,アイファーファルコ,牡4,58,ギュイヨ,2:01.5,3/4,43.9,14,444(0),[西] 飯田雄三
15,8,14,ヤマニンファラオ,牡4,58,川原正一,2:06.2,大,11.6,5,492(+14),[西] 河内洋
