着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,12,フレデフォート,牡7,57,中井裕二,1:09.0,,34.6,13,458(+2),[西] 安田隆行
2,4,8,ビキニブロンド,牝5,55,吉田隼人,1:09.0,クビ,5.3,2,444(-8),[西] 安田隆行
3,8,17,サニーヘイロー,牝6,55,勝浦正樹,1:09.2,1,51.6,14,462(-10),[東] 谷原義明
4,3,5,マッキーコバルト,牡8,57,丸田恭介,1:09.2,ハナ,21.2,11,472(+4),[西] 角田晃一
5,6,11,シゲルアセロラ,牡5,57,国分優作,1:09.2,クビ,9.2,5,482(+2),[西] 目野哲也
6,7,13,ヤマニンプチガトー,牝5,55,松田大作,1:09.3,1/2,4.9,1,478(-2),[西] 木原一良
7,3,6,キングオブロー,牡5,57,中舘英二,1:09.4,3/4,14.3,7,484(-4),[東] 伊藤伸一
8,1,2,エーシンシャラク,牡6,57,藤岡佑介,1:09.4,クビ,10.8,6,502(-4),[西] 小崎憲
9,5,10,オレニホレルナヨ,牡5,57,古川吉洋,1:09.5,1/2,18.3,9,506(-2),[西] 南井克巳
10,5,9,オーシャンカレント,牡8,57,シュタル,1:09.5,ハナ,34.4,12,500(-2),[西] 今野貞一
11,8,16,ブラーニーストーン,セ7,57,高倉稜,1:09.6,クビ,80.5,17,468(-4),[西] 宮徹
12,2,4,ダイメイザクラ,牝7,55,武士沢友,1:09.7,3/4,79.6,16,438(-4),[東] 佐藤吉勝
13,4,7,ラフレーズカフェ,牝5,55,西田雄一,1:09.7,ハナ,19.3,10,478(-4),[東] 小島太
14,2,3,キョウエイバサラ,牡6,57,丸山元気,1:09.7,ハナ,108.6,18,536(+6),[西] 矢作芳人
15,1,1,サカジロロイヤル,牡6,57,太宰啓介,1:09.7,ハナ,7.9,4,516(-2),[西] 湯窪幸雄
16,7,15,メイショウイザヨイ,牝5,55,武幸四郎,1:10.0,1.3/4,7.8,3,504(+4),[西] 小野幸治
17,7,14,シルクウェッジ,牡7,57,黛弘人,1:10.1,クビ,65.1,15,478(-12),[東] 和田正道
18,8,18,サンブルエミューズ,牝4,55,田辺裕信,1:10.1,クビ,15.8,8,450(+8),[東] 加藤征弘
