着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,8,ベステゲシェンク,牡4,57,ペドロサ,1:34.1,,6.8,3,462(-14),[東] 古賀慎明
2,3,5,ローレルソラン,牡6,57,吉田隼人,1:34.5,2.1/2,93.5,14,464(-4),[東] 奥平雅士
3,5,10,カロッサル,牡5,57,北村友一,1:34.6,1/2,2.3,1,494(0),[西] 松永昌博
4,5,9,クリノチョモランマ,牡4,57,川須栄彦,1:34.6,アタマ,23.0,8,516(-4),[東] 高市圭二
5,6,11,メイショウインロウ,牡5,57,秋山真一,1:34.6,ハナ,32.1,10,520(-2),[西] 高橋亮
6,7,14,サトノジョリー,牝5,55,福永祐一,1:34.6,クビ,37.1,11,450(0),[西] 松田国英
7,3,6,ゴットラウディー,牡6,57,藤田伸二,1:34.8,1.1/4,19.9,7,464(-8),[西] 木原一良
8,8,15,タガノルミナーレ,牝5,55,池添謙一,1:34.9,1/2,136.5,16,462(-8),[西] 池添兼雄
9,8,16,アドマイヤオウジャ,牡4,57,岩田康誠,1:35.0,1/2,9.6,4,470(+10),[西] 橋田満
10,4,7,アールデュラン,セ5,57,木幡初也,1:35.0,ハナ,14.1,5,474(-8),[東] 鹿戸雄一
11,1,2,タニノシュヴァリエ,牡5,57,幸英明,1:35.0,アタマ,126.1,15,472(-8),[西] 岡田稲男
12,2,4,ビッグスマイル,牝6,55,的場勇人,1:35.1,1/2,27.3,9,462(0),[東] 的場均
13,7,13,ヒルノクオリア,牡4,57,四位洋文,1:35.4,1.3/4,6.1,2,468(0),[西] 昆貢
14,1,1,ゼウス,牡4,57,松山弘平,1:35.5,1/2,41.2,12,488(+6),[西] 鈴木孝志
15,2,3,ウィザーズポケット,牡5,57,松田大作,1:36.0,3,14.1,6,452(-8),[西] 昆貢
16,6,12,シルクバーニッシュ,牡5,57,田中博康,1:37.9,大,50.3,13,474(-22),[西] 中内田充
