着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,16,クリノエリザベス,牝3,52,幸英明,1:10.8,,5.6,3,490(+2),[西] 須貝尚介
2,5,9,ルミナスウイング,牡4,57,北村友一,1:11.0,1.1/4,4.6,2,480(-2),[西] 安田隆行
3,4,7,アレット,牡3,54,浜中俊,1:11.4,2.1/2,9.2,5,490(-4),[西] 岡田稲男
4,3,5,キクノラフィカ,牡5,57,川田将雅,1:11.4,クビ,2.7,1,498(+8),[西] 中内田充
5,1,1,キセキノハナ,牝5,55,和田竜二,1:11.5,1/2,34.2,10,442(-10),[西] 柴田光陽
6,2,3,マッシヴヒーロー,牡5,57,岩崎翼,1:11.5,ハナ,37.9,11,454(0),[西] 大橋勇樹
7,5,10,マリントウショウ,牝5,55,鮫島良太,1:11.5,ハナ,148.0,14,500(+8),[西] 角田晃一
8,6,11,ウエストハーバー,牡6,57,パートン,1:11.6,クビ,169.4,16,534(+2),[西] 中竹和也
9,4,8,ヤマニンメンヒル,牡5,57,松山弘平,1:11.6,クビ,160.8,15,470(-6),[西] 柴田政見
10,2,4,フレンチトースト,牝5,55,藤懸貴志,1:11.7,クビ,9.2,4,444(+6),[西] 平田修
11,1,2,ミラクルルーマー,牡4,57,国分優作,1:12.0,2,27.1,7,534(+2),[西] 角田晃一
12,7,13,マジッククレスト,牝5,55,酒井学,1:12.1,1/2,30.0,9,452(-6),[西] 藤岡健一
13,3,6,ジャーグラット,牡6,57,太宰啓介,1:12.2,3/4,38.7,12,432(-2),[東] 伊藤伸一
14,8,15,リアライズナマステ,牡5,57,中井裕二,1:12.4,1.1/4,58.6,13,468(0),[西] 森秀行
15,7,14,デンコウデア,牝5,55,武幸四郎,1:12.6,1.1/4,19.7,6,472(+16),[西] 荒川義之
16,6,12,サイズミックレディ,牝6,55,武豊,1:12.8,1.1/2,28.5,8,500(-2),[西] 田所秀孝
