着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,11,バウンスシャッセ,牝3,54,ブノワ,2:00.8,,22.7,8,510(+6),[東] 藤沢和雄
2,1,1,ホルボッシュ,牡3,56,北村宏司,2:01.0,1.1/2,10.0,4,484(+2),[東] 藤沢和雄
3,5,7,ダノンアンビシャス,牡3,56,内田博幸,2:01.2,1.1/4,3.5,2,464(-2),[西] 藤原英昭
4,3,3,クインズチャイルド,牡3,56,後藤浩輝,2:01.5,2,24.0,10,478(0),[東] 伊藤圭三
5,8,13,ブルーフラッシュ,牡3,56,蛯名正義,2:01.5,クビ,3.4,1,452(0),[西] 松田国英
6,2,2,ダノンミシガン,牡3,56,三浦皇成,2:01.6,クビ,47.3,11,488(+8),[東] 久保田貴
7,5,6,ティックルゴールド,牝3,54,田辺裕信,2:01.7,1/2,11.0,6,440(+2),[東] 田島俊明
8,8,12,マイネオーラム,牝3,54,柴田大知,2:01.7,ハナ,11.0,5,462(+4),[東] 高橋義博
9,4,5,ハイアーレート,牡3,56,吉田豊,2:01.9,1.1/2,7.5,3,496(-2),[東] 大久保洋
10,7,10,コスモディクシー,牡3,56,丹内祐次,2:02.0,クビ,218.9,13,474(-6),[東] 中野栄治
11,4,4,アカノジュウハチ,牡3,56,田中勝春,2:02.4,2.1/2,11.2,7,494(-6),[東] 尾関知人
12,6,9,レッドオラシオン,牡3,56,中舘英二,2:03.3,5,74.7,12,458(+2),[東] 大久保洋
13,6,8,サニーデイズ,牡3,56,津村明秀,2:08.1,大,23.6,9,500(+6),[東] 相沢郁
