着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,6,フェスティヴタロー,牡5,57,田中勝春,1:47.5,,3.6,2,502(-2),[東] 天間昭一
2,3,4,バッドボーイ,牡4,56,戸崎圭太,1:47.7,1.1/4,5.8,3,508(-12),[西] 河内洋
3,1,1,ミエノワンダー,牡4,55,北村宏司,1:47.8,3/4,3.3,1,508(+4),[東] 国枝栄
4,7,12,タツミリュウ,牡6,55,田辺裕信,1:47.9,3/4,19.7,9,506(+10),[東] 矢野英一
5,3,3,フラアンジェリコ,牡6,56,武士沢友,1:47.9,ハナ,11.1,5,516(+4),[東] 斎藤誠
6,5,8,レオプログレス,牡9,55,江田照男,1:48.0,3/4,156.2,14,470(-4),[東] 萱野浩二
7,4,5,マイネマオ,牝6,51,柴田大知,1:48.1,3/4,102.0,13,508(0),[西] 宮本博
8,8,13,ジェントルマン,牡6,57,内田博幸,1:48.1,ハナ,11.8,6,490(-6),[西] 中尾秀正
9,8,14,ウイングドウィール,牝5,53,横山和生,1:48.3,1.1/2,19.3,8,486(+6),[東] 宗像義忠
10,6,9,インプロヴァイズ,牡4,55,ギュイヨ,1:48.3,ハナ,9.8,4,470(0),[東] 堀宣行
11,7,11,アップルジャック,牡6,53,松岡正海,1:48.4,1/2,67.6,11,518(-14),[東] 堀井雅広
12,6,10,ベストディール,牡5,57,大野拓弥,1:48.6,1.1/4,16.1,7,482(+6),[東] 国枝栄
13,2,2,トウカイオーロラ,牡7,54,ブノワ,1:48.7,クビ,86.8,12,482(-2),[西] 田所秀孝
14,5,7,タイタン,牡6,55,横山典弘,1:49.2,3,57.9,10,468(-2),[西] 五十嵐忠
