着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,ハピネスダンサー,牝3,54,藤岡康太,2:02.4,,2.4,1,466(0),[西] 高野友和
2,2,2,ムードスウィングス,牝3,54,田辺裕信,2:02.6,1.1/4,3.9,2,450(+2),[東] 斎藤誠
3,4,5,アンジュデュバン,牝3,54,津村明秀,2:02.6,クビ,37.2,9,444(0),[東] 武市康男
4,8,12,スペランツァデーア,牝3,54,Ｍ．デム,2:02.9,1.3/4,8.4,4,438(+14),[西] 牧田和弥
5,7,11,エクセレントビュー,牝3,54,内田博幸,2:03.1,1.1/4,8.2,3,454(-2),[東] 高柳瑞樹
6,8,13,パープルセイル,牝3,54,岩田康誠,2:03.1,クビ,15.1,6,432(-12),[東] 古賀慎明
7,6,9,グラスプリマ,牝3,54,吉田豊,2:03.1,アタマ,34.3,8,514(-8),[東] 尾形充弘
8,5,7,デルマサリーチャン,牝3,54,戸崎圭太,2:03.2,3/4,15.6,7,452(0),[東] 堀井雅広
9,1,1,マックスユーキャン,牝3,54,横山典弘,2:03.3,3/4,37.6,10,464(+4),[東] 鈴木伸尋
10,7,10,カッテ,牝3,54,田中勝春,2:03.5,1.1/4,162.9,12,438(-10),[東] 宗像義忠
11,4,4,ラインカグラ,牝3,54,蛯名正義,2:04.2,4,9.3,5,418(-10),[東] 水野貴広
12,5,6,プレシャスムーン,牝3,54,木幡初広,2:04.3,クビ,252.9,13,436(-2),[東] 栗田博憲
13,6,8,ダイワバロニス,牝3,54,後藤浩輝,2:05.6,8,53.1,11,466(-4),[東] 田中清隆
