着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,6,レッドキングダム,牡5,63,北沢伸也,4:41.0,,9.6,4,466(-4),[西] 松永幹夫
2,6,8,アポロマーベリック,牡5,63,五十嵐雄,4:41.5,3,1.7,1,530(0),[東] 堀井雅広
3,3,3,サンレイデューク,牡6,63,難波剛健,4:42.3,5,9.6,3,462(+8),[西] 高橋義忠
4,6,9,シャイニーブラック,セ7,63,浜野谷憲,4:42.5,1,47.0,10,468(+4),[東] 伊藤伸一
5,7,10,オースミムーン,牡5,63,中村将之,4:42.5,クビ,6.2,2,468(-10),[西] 小野幸治
6,8,12,ドリームセーリング,牡7,63,石神深一,4:42.9,2.1/2,34.9,9,486(+16),[東] 田島俊明
7,4,4,ケイアイドウソジン,牡8,63,山本康志,4:43.5,3.1/2,11.1,5,500(0),[東] 田村康仁
8,4,5,メイショウヨウドウ,セ6,63,西谷誠,4:43.6,1/2,28.0,8,486(-2),[西] 池添兼雄
9,1,1,セイエイ,牡6,63,高野和馬,4:43.6,クビ,117.0,12,532(+6),[東] 小桧山悟
10,7,11,バアゼルリバー,牡8,63,熊沢重文,4:43.7,1/2,11.3,6,506(-2),[西] 松田博資
11,2,2,リキアイクロフネ,牡7,63,横山義行,4:44.5,5,27.5,7,474(+2),[東] 田中剛
12,8,13,メジロサンノウ,牡6,63,原田和真,4:46.9,大,113.3,11,474(+6),[東] 大久保洋
中,5,7,クリノテンペスタ,牡7,63,植野貴也,,,232.3,13,492(+8),[東] 高橋義博
