着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,4,エーシンビートロン,牡8,57,武幸四郎,1:22.8,,8.2,5,492(+2),[西] 西園正都
2,8,14,デザートオアシス,牡6,57,池添謙一,1:22.8,アタマ,3.4,1,520(-2),[西] 野中賢二
3,3,3,グレイスフルリープ,牡4,57,小牧太,1:22.8,ハナ,9.1,6,550(+6),[西] 橋口弘次
4,4,5,フミノファルコン,牡4,57,小林徹弥,1:22.9,1/2,7.2,4,548(-6),[西] 目野哲也
5,7,11,アメージングタクト,牡4,57,秋山真一,1:23.1,1.1/4,9.4,7,450(+2),[西] 野村彰彦
6,5,8,キングパーフェクト,牡8,57,岩部純二,1:23.2,1/2,97.4,12,468(+12),[東] 萱野浩二
7,7,12,ヤマノサファイア,牡6,57,国分優作,1:23.5,1.3/4,10.0,8,444(+2),[西] 崎山博樹
8,6,9,キングオブヘイロー,牡8,57,岡部誠,1:23.5,ハナ,33.6,9,486(-4),[西] 小崎憲
9,6,10,ツルオカハチマン,牡5,57,岩田康誠,1:23.6,クビ,7.1,3,510(-2),[西] 大久保龍
10,5,7,ワンダースピンドル,牡6,57,尾島徹,1:23.6,クビ,127.5,14,480(+4),[西] 小崎憲
11,1,1,モエレジュンキン,牡7,57,和田竜二,1:23.8,1,81.4,10,476(-2),[東] 武市康男
12,2,2,ダノンハラショー,牡7,57,バルジュ,1:24.2,2.1/2,87.3,11,474(+22),[西] 松田国英
13,4,6,ソラニー,牡4,57,武豊,1:24.3,3/4,5.9,2,488(-4),[東] 武藤善則
14,8,13,トーホウプリンセス,牝7,55,嘉藤貴行,1:24.5,1.1/2,122.5,13,500(-12),[東] 田中清隆
