着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,5,マデイラ,牡5,57,浜中俊,1:59.2,,10.0,6,490(+6),[西] 荒川義之
2,6,6,リメインサイレント,牝4,55,幸英明,1:59.3,1/2,9.9,5,488(+2),[西] 田中章博
3,4,4,トラストワン,牡6,57,武豊,1:59.3,クビ,25.3,8,500(0),[西] 庄野靖志
4,8,10,ヒロノプリンス,牡4,57,モッセ,1:59.4,クビ,29.8,9,462(+4),[西] 村山明
5,8,9,サフランディライト,牡6,57,和田竜二,1:59.4,クビ,7.7,4,484(-4),[西] 北出成人
6,1,1,ダノンフェニックス,牡6,57,ウィリア,1:59.5,1/2,2.8,1,454(+6),[西] 角居勝彦
7,7,7,ジェントルマン,牡6,57,福永祐一,1:59.5,クビ,6.9,3,490(0),[西] 中尾秀正
8,2,2,スミデロキャニオン,牡5,57,川田将雅,1:59.7,1.1/4,3.8,2,456(0),[西] 音無秀孝
9,7,8,オールアズワン,牡6,57,国分恭介,2:00.0,1.3/4,74.6,10,488(0),[西] 加用正
10,3,3,ヒルノドンカルロ,牡4,57,藤田伸二,2:01.1,7,13.6,7,516(+10),[西] 昆貢
