着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,15,ナガラオリオン,牡5,56,四位洋文,1:11.0,,4.4,3,462(0),[西] 大根田裕
2,6,11,サウンドガガ,牝5,55,武豊,1:11.0,クビ,4.3,2,494(0),[西] 佐藤正雄
3,3,5,エーシンビートロン,牡8,56,武幸四郎,1:11.6,3.1/2,22.1,7,490(0),[西] 西園正都
4,5,9,ドレッドノート,セ6,56,浜中俊,1:11.7,1/2,35.0,10,466(-6),[西] 佐々木晶
5,1,1,シセイオウジ,牡7,56,ウィリア,1:11.7,アタマ,19.1,6,460(-4),[東] 宗像義忠
6,1,2,マルカバッケン,牡7,58,池添謙一,1:11.7,アタマ,23.8,8,490(0),[西] 浜田多実
7,4,8,シゲルソウサイ,牡6,56,幸英明,1:11.8,1/2,37.7,11,512(-6),[西] 湯窪幸雄
8,2,4,ダノンレジェンド,牡4,56,和田竜二,1:11.8,アタマ,6.8,4,450(0),[西] 村山明
9,5,10,サマリーズ,牝4,54,藤岡佑介,1:11.9,1/2,53.9,13,504(+12),[西] 藤岡健一
10,7,13,ハーロンベイ,牝4,54,川田将雅,1:11.9,クビ,3.9,1,444(+2),[西] 岡田稲男
11,2,3,ファリダット,牡9,57,小牧太,1:12.0,クビ,53.1,12,490(+12),[西] 松元茂樹
12,8,16,ブラボースキー,牡6,56,小林徹弥,1:12.2,1,235.9,16,488(-6),[西] 音無秀孝
13,6,12,ウインラーニッド,牡6,56,福永祐一,1:12.2,クビ,9.3,5,504(-2),[西] 石坂正
14,3,6,ネオザウイナー,牡6,56,松山弘平,1:12.3,クビ,133.4,14,494(-4),[西] 小崎憲
15,4,7,エーシンレンジャー,牡4,56,北村友一,1:12.4,1/2,26.1,9,500(-2),[西] 中尾秀正
16,7,14,ニシオドリーム,牡6,56,太宰啓介,1:12.8,2.1/2,165.1,15,504(+24),[西] 高橋亮
