着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,8,ペルフィカ,牝2,54,武豊,1:21.2,,17.6,6,440(0),[西] 岡田稲男
2,4,6,アポロケンタッキー,牡2,55,和田竜二,1:21.4,1.1/4,4.4,2,532(0),[西] 山内研二
3,8,15,メジャーガラメキ,牝2,54,川田将雅,1:21.4,ハナ,2.8,1,474(0),[西] 小崎憲
4,3,4,サトノギアス,牡2,53,松若風馬,1:21.7,1.3/4,23.8,9,432(0),[西] 加用正
5,7,13,コウエイサムライ,牡2,55,高倉稜,1:21.9,1.1/4,101.0,13,462(0),[西] 松元茂樹
6,3,5,タガノポワン,牝2,51,小崎綾也,1:22.1,1.1/4,20.1,7,414(0),[西] 鈴木孝志
7,8,14,トウケイウルフ,牡2,55,松山弘平,1:22.2,3/4,91.3,12,420(0),[西] 清水久詞
8,6,11,マイグリュック,牝2,54,福永祐一,1:22.2,ハナ,11.2,5,470(0),[西] 吉村圭司
9,2,2,スピードチュウイ,牡2,55,浜中俊,1:22.4,1.1/4,20.7,8,454(0),[西] 佐々木晶
10,7,12,タケルクラウン,牡2,55,岩田康誠,1:22.6,1,62.7,11,442(0),[西] 坂口正則
11,5,9,ホッコービフレスト,牡2,55,幸英明,1:22.6,クビ,5.2,3,478(0),[西] 西浦勝一
12,6,10,クラウンラフィナ,牝2,54,北村友一,1:22.7,1/2,8.2,4,456(0),[西] 北出成人
13,2,3,デルマチハヤ,牝2,54,菱田裕二,1:22.9,1.1/2,118.5,14,432(0),[西] 牧田和弥
14,1,1,ラガーマイレッカー,牝2,54,太宰啓介,1:23.0,3/4,122.4,15,486(0),[西] 柴田政見
15,4,7,アナザーデイ,牝2,54,国分恭介,1:24.4,9,34.8,10,480(0),[西] 梅田康雄
