着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,11,アドマイヤランディ,牡3,55,藤岡康太,1:51.6,,19.8,6,508(+2),[西] 須貝尚介
2,5,7,シュミット,牡4,57,川田将雅,1:51.9,1.3/4,16.1,5,486(+14),[西] 松田博資
3,3,4,スノーモンキー,牡4,57,岩田康誠,1:52.0,1/2,7.0,4,442(-2),[東] 相沢郁
4,8,13,タガノプリンス,牡6,57,武豊,1:52.0,クビ,6.3,3,460(-4),[西] 石橋守
5,6,10,ツルマルスピリット,牡7,57,小牧太,1:52.1,クビ,40.2,10,506(0),[西] 橋口弘次
6,3,3,ゴダール,牡4,57,北村友一,1:52.3,1.1/4,6.0,2,490(+2),[西] 吉田直弘
7,4,6,ポメグラネイト,牡3,55,藤田伸二,1:52.6,2,33.3,9,554(+6),[西] 長浜博之
8,5,8,ミッキーマーチ,セ5,57,幸英明,1:52.6,クビ,20.9,7,514(+6),[西] 牧田和弥
9,4,5,サトノスーペリア,牡3,55,秋山真一,1:52.6,ハナ,22.2,8,470(+10),[西] 平田修
10,2,2,プルーフポジティブ,牡5,57,森一馬,1:52.8,1.1/4,78.1,12,468(0),[西] 松永昌博
11,7,12,アーサーバローズ,牡5,57,菱田裕二,1:52.8,ハナ,56.2,11,476(+4),[西] 中竹和也
12,1,1,カリスマサンタイム,牡4,57,小林徹弥,1:53.0,1.1/4,124.5,14,504(+2),[西] 崎山博樹
13,6,9,メイショウサリマン,牡6,57,和田竜二,1:53.4,2.1/2,78.7,13,480(-8),[西] 高橋義忠
14,8,14,ショーグン,牡4,57,福永祐一,1:53.7,1.3/4,2.1,1,630(+4),[西] 千田輝彦
