着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,8,スズカロジック,牡6,57,秋山真一,1:23.8,,28.4,9,516(+22),[西] 橋田満
2,5,10,コウユーサムライ,牡5,57,福永祐一,1:23.8,アタマ,6.6,3,502(+8),[西] 森秀行
3,7,13,マヤノオントロジー,牡5,57,国分優作,1:23.8,クビ,78.2,13,500(+8),[西] 安達昭夫
4,1,2,ダノンハラショー,牡7,57,川須栄彦,1:24.0,1.1/4,11.0,8,458(0),[西] 松田国英
5,6,12,キクノフレヴァン,牡8,57,国分恭介,1:24.0,アタマ,61.1,12,496(+4),[西] 北出成人
6,6,11,アマノレインジャー,牡6,57,幸英明,1:24.1,クビ,109.6,14,518(+14),[西] 湯窪幸雄
7,5,9,アフリカンハンター,牡6,57,川島信二,1:24.1,クビ,147.5,15,506(-2),[西] 荒川義之
8,2,3,ハーロンベイ,牝4,55,北村友一,1:24.2,1/2,4.2,1,462(+10),[西] 岡田稲男
9,2,4,タガノミューチャン,牝4,55,藤岡佑介,1:24.4,3/4,9.6,7,526(+4),[西] 浅見秀一
10,8,16,ドリームコンサート,牡5,57,熊沢重文,1:24.5,1/2,8.6,5,508(+8),[西] 河内洋
11,3,5,アンリヴィールド,牝5,55,四位洋文,1:24.8,1.3/4,9.6,6,492(+8),[西] 昆貢
12,1,1,ネロ,牡3,56,藤田伸二,1:24.9,3/4,5.2,2,476(+6),[西] 森秀行
13,7,14,モエレジュンキン,牡7,57,和田竜二,1:25.1,1.1/4,35.3,10,480(+4),[東] 武市康男
14,4,7,テイエムキュウコー,セ3,56,森一馬,1:26.7,10,214.9,16,474(+2),[西] 五十嵐忠
15,3,6,イエスイットイズ,牡5,57,小林徹弥,1:27.4,4,38.0,11,520(+8),[西] 梅田康雄
16,8,15,エーシンレンジャー,牡4,57,太宰啓介,1:27.4,アタマ,8.0,4,496(-4),[西] 中尾秀正
