着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,ミッキースマホ,牡4,57,岩田康誠,1:44.0,,1.5,1,472(+2),[西] 大久保龍
2,6,8,マイネルハルカゼ,牡4,57,松岡正海,1:44.4,2.1/2,4.9,2,482(-2),[西] 五十嵐忠
3,7,9,タンスチョキン,牝4,55,古川吉洋,1:45.4,6,25.9,6,474(+4),[西] 谷潔
4,8,11,ハヤブサフィーバー,牡5,57,吉田隼人,1:45.4,ハナ,23.1,5,494(0),[東] 伊藤圭三
5,4,4,ハーストイーグル,牡4,57,勝浦正樹,1:45.5,3/4,8.2,3,506(0),[東] 粕谷昌央
6,8,12,シナーラ,牝4,55,菱田裕二,1:45.7,1.1/2,81.8,9,424(-4),[西] 浅見秀一
7,5,6,アドマイヤイバマ,牡4,57,丸山元気,1:45.9,1.1/2,9.5,4,470(-6),[西] 友道康夫
8,5,5,クレバーパルマ,牝4,55,松田大作,1:46.1,1,35.4,7,432(-6),[東] 根本康広
9,2,2,キセキノチャンス,牝4,55,秋山真一,1:46.3,1,50.7,8,490(-2),[西] 小野幸治
10,7,10,ミーシャレヴュー,牝5,52,小崎綾也,1:46.5,1,94.9,10,476(-2),[西] 松田国英
11,1,1,ルー,牡4,57,杉原誠人,1:47.0,3,138.4,11,460(+6),[東] 奥村武
12,6,7,ヤマトツバキ,牝4,55,津村明秀,1:47.8,5,238.7,12,474(0),[東] 小西一男
