着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,6,ブルーストーン,牝3,52,吉田隼人,1:09.1,,7.3,5,464(+6),[東] 伊藤圭三
2,3,5,エポワス,セ6,57,柴山雄一,1:09.6,3,5.6,3,482(-8),[東] 藤沢和雄
3,7,13,エイシンオルドス,牝3,52,岩田康誠,1:09.7,クビ,3.0,1,490(+4),[西] 坂口正則
4,8,15,ストロングロビン,牡8,57,木幡初広,1:09.8,1/2,46.8,10,480(-4),[東] 宗像義忠
5,2,4,フリーアズアバード,セ6,57,西村太一,1:09.8,クビ,27.0,8,476(-2),[東] 金成貴史
6,1,1,ローズノーブル,牝5,55,杉原誠人,1:10.0,1.1/4,18.6,6,416(-8),[東] 古賀慎明
7,8,16,ストークアンドレイ,牝4,55,藤田伸二,1:10.0,ハナ,5.4,2,490(+2),[西] 山内研二
8,5,10,レヴァンタール,セ5,57,黛弘人,1:10.1,3/4,90.8,13,442(-2),[東] 蛯名利弘
8,6,11,オオタニジムチョウ,牡5,57,竹之下智,1:10.1,同着,116.7,15,450(-8),[東] 菊沢隆徳
10,4,7,シルヴァーグレイス,牝4,55,秋山真一,1:10.1,アタマ,5.7,4,438(-16),[西] 須貝尚介
11,2,3,レディオスソープ,牝6,55,勝浦正樹,1:10.2,クビ,95.3,14,486(-6),[東] 水野貴広
12,5,9,カディーシャ,牝5,55,横山和生,1:10.2,ハナ,22.3,7,416(-2),[東] 武市康男
13,7,14,ミライヘノカゼ,牡5,57,村田一誠,1:10.3,1/2,255.1,16,478(0),[東] 伊藤大士
14,1,2,ダークマレイン,牝5,55,菱田裕二,1:10.4,1/2,74.7,12,456(+2),[東] 大竹正博
15,4,8,メイショウヒデタダ,牡5,57,古川吉洋,1:10.5,3/4,30.7,9,460(-8),[西] 南井克巳
16,6,12,ベストブルーム,牡7,57,津村明秀,1:10.6,3/4,56.2,11,462(-6),[東] 岩戸孝樹
