着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,アドマイヤギャラン,牝5,53,小牧太,1:58.7,,3.7,2,484(0),[西] 中尾秀正
2,7,8,ゼンノルジェロ,牡6,53,熊沢重文,1:58.9,1.1/4,130.7,10,500(0),[西] 飯田祐史
3,5,5,サトノジュピター,牝5,53,浜中俊,1:59.1,1.1/2,8.1,4,482(+12),[東] 堀宣行
4,3,3,ブロードスター,セ4,54,川須栄彦,1:59.1,ハナ,13.9,8,470(0),[西] 鮫島一歩
5,1,1,フレージャパン,牡5,54,中井裕二,1:59.3,1.1/2,8.3,5,474(-4),[西] 森秀行
6,4,4,スノードン,牡5,55,北村友一,1:59.4,3/4,3.6,1,486(0),[西] 安田隆行
7,8,10,マイネルアイザック,牡5,55,幸英明,1:59.6,1.1/4,12.1,7,454(+4),[西] 宮徹
8,7,7,プリンセスジャック,牝4,55,和田竜二,1:59.7,クビ,10.2,6,474(-2),[西] 加用正
9,8,9,ダノンフェニックス,牡6,56,川田将雅,1:59.7,アタマ,6.5,3,444(-10),[西] 角居勝彦
10,6,6,ローレルブレット,牡5,55,松山弘平,1:59.8,1/2,17.6,9,456(+8),[西] 今野貞一
