着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,11,ディープリアン,牝3,54,勝浦正樹,1:56.4,,19.7,9,446(-2),[東] 水野貴広
2,4,6,ベストガーディアン,牝3,54,柴山雄一,1:56.5,3/4,4.8,2,520(-14),[西] 大根田裕
3,2,2,ヒムカ,牝3,54,吉田隼人,1:56.7,1.1/4,5.9,3,492(0),[東] 高木登
4,3,5,カネトシタシナミ,牝3,51,松若風馬,1:56.9,1,48.6,11,440(+2),[西] 高野友和
5,7,12,タガノラプランセス,牝3,54,藤岡佑介,1:56.9,アタマ,10.0,6,474(-6),[西] 西橋豊治
6,4,7,メイプルチャンス,牝3,54,津村明秀,1:57.1,1,9.6,5,440(0),[東] 高市圭二
7,6,10,デザイアドライブ,牝3,54,五十嵐雄,1:57.2,3/4,130.5,15,458(-2),[東] 金成貴史
8,2,3,コウエイテンペスタ,牝3,54,小牧太,1:57.2,クビ,12.6,8,492(0),[西] 湯窪幸雄
9,8,14,ムーントラベラー,牝3,54,高倉稜,1:57.3,クビ,39.4,10,430(-10),[西] 宮本博
10,5,9,ウインサラ,牝3,51,木幡初也,1:57.6,1.3/4,121.2,14,432(+6),[東] 松山将樹
11,7,13,ピンクプリンセス,牝3,54,大下智,1:57.8,1.1/4,97.0,12,508(-2),[西] 小野幸治
12,5,8,キネオマドンナ,牝3,54,菱田裕二,1:57.8,クビ,3.8,1,480(+4),[西] 石坂正
13,3,4,ボイルトウショウ,牝3,51,伴啓太,1:58.6,5,8.7,4,412(+4),[東] 萱野浩二
14,1,1,ミナスジェライス,牝3,54,松田大作,1:58.9,2,115.9,13,484(-6),[西] 北出成人
15,8,15,キョウエイカプリス,牝3,54,中谷雄太,1:59.9,6,11.2,7,468(-4),[西] 矢作芳人
