着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,6,ベルウッドテラス,牡4,57,柴山雄一,1:46.4,,5.9,4,506(+22),[東] 二ノ宮敬
2,1,1,トミケンユークアイ,セ5,57,勝浦正樹,1:46.5,1/2,4.8,2,480(+6),[東] 水野貴広
3,2,2,セフティーエムアイ,牡3,54,福永祐一,1:46.7,1.1/2,5.0,3,470(-6),[西] 小野幸治
4,8,12,ヒラボクプリンス,牡4,57,菱田裕二,1:46.7,クビ,2.5,1,486(-8),[西] 加藤敬二
5,3,3,ラヴィアンクレール,牡6,57,三浦皇成,1:46.8,クビ,13.4,6,456(+2),[東] 鈴木伸尋
6,5,5,ロゼッタストーン,牡5,57,中谷雄太,1:47.1,1.3/4,55.4,8,468(-2),[西] 矢作芳人
7,4,4,ブルーメリディアン,牝5,55,小崎綾也,1:47.3,1.1/4,65.4,9,448(-2),[西] 小崎憲
8,8,11,ヒショウ,セ6,57,黛弘人,1:47.4,1/2,175.4,12,454(-6),[東] 蛯名利弘
9,6,8,サンライズサルーテ,牡6,57,丹内祐次,1:48.5,7,130.1,11,448(-4),[西] 河内洋
10,7,9,エイシンヴァラー,牡3,54,藤岡康太,1:48.9,2.1/2,7.4,5,490(+2),[西] 中尾秀正
11,7,10,ウォーターサムデイ,牡8,57,花田大昂,1:48.9,ハナ,41.9,7,484(+8),[西] 岡田稲男
12,6,7,ニシノデンジャラス,牡3,54,丸山元気,1:55.5,大,83.2,10,518(+6),[東] 的場均
