着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,15,フルアクセル,牡6,57,戸崎圭太,1:32.8,,42.2,11,474(-10),[東] 勢司和浩
2,4,8,ダノンジェラート,牡5,57,三浦皇成,1:32.8,アタマ,3.2,1,486(+2),[東] 萩原清
3,3,5,ダローネガ,牡5,57,内田博幸,1:33.0,1.1/4,24.2,8,490(-2),[西] 佐々木晶
4,4,7,チェリーヒロイン,牝5,55,横山典弘,1:33.0,ハナ,15.4,6,420(+4),[東] 和田正一
5,5,10,キッズニゴウハン,牡6,57,江田照男,1:33.1,1/2,83.6,13,490(-4),[東] 牧光二
6,8,17,ホーカーテンペスト,牡5,57,北村宏司,1:33.2,1/2,6.1,3,496(-6),[東] 藤沢和雄
7,2,4,エデンロック,牡4,57,福永祐一,1:33.2,アタマ,17.0,7,466(-4),[東] 小島茂之
8,5,9,ローレルブレット,牡5,57,浜中俊,1:33.3,3/4,30.2,10,448(0),[西] 今野貞一
9,3,6,キョウエイアシュラ,牡7,57,和田竜二,1:33.4,3/4,253.6,16,456(-6),[西] 森田直行
10,7,14,ドリームトレイン,牡5,57,吉田豊,1:33.4,ハナ,28.0,9,500(-6),[西] 谷潔
11,6,12,ロードガルーダ,牡5,57,川田将雅,1:33.5,クビ,13.5,5,502(-12),[西] 池江泰寿
12,6,11,ヒラボクインパクト,牡6,57,柴田大知,1:33.7,1.1/2,73.7,12,488(+6),[東] 国枝栄
13,1,2,ゼンノルジェロ,牡6,57,川島信二,1:33.8,クビ,84.3,14,500(-4),[西] 飯田祐史
14,7,13,デウスウルト,セ6,57,ウィリア,1:33.8,クビ,7.9,4,454(-14),[西] 平田修
15,2,3,レッドセシリア,牝4,55,蛯名正義,1:33.8,アタマ,3.7,2,428(+4),[東] 鹿戸雄一
16,8,16,オマワリサン,牡6,57,柴田善臣,1:35.4,10,125.7,15,534(+14),[東] 本間忍
17,1,1,ナスザン,牡9,57,井上敏樹,1:35.7,2,419.4,17,496(+6),[東] 高木登
