着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,チェリーペトルズ,牝4,55,丸田恭介,1:09.0,,19.4,6,470(0),[東] 奥村武
2,3,5,ヤマニンマルキーザ,牡3,56,伊藤工真,1:09.0,クビ,2.2,1,462(+4),[東] 栗田徹
3,1,1,アイファーマシェリ,牝3,54,吉田隼人,1:09.2,1.1/4,6.2,3,446(-20),[西] 加藤敬二
4,4,8,トウシンムサシ,牡3,56,松若風馬,1:09.3,1/2,44.1,12,458(+4),[西] 山内研二
5,3,6,ショウナンバグース,牡4,57,勝浦正樹,1:09.3,クビ,15.4,5,450(-6),[東] 田中剛
6,7,13,ケントヒーロー,牡4,57,岩崎翼,1:09.4,クビ,5.3,2,492(+10),[西] 梅田康雄
7,5,10,サウンドマンデュロ,牡5,57,西田雄一,1:09.7,1.3/4,45.5,13,474(+12),[西] 佐藤正雄
8,6,12,ミッキーマンデー,牡4,57,熊沢重文,1:09.8,3/4,9.3,4,480(+10),[西] 中村均
9,5,9,リネンヴィヴィッド,牡5,57,江田照男,1:09.9,1/2,26.3,7,520(+10),[東] 南田美知
10,4,7,シセイカスガ,牡3,56,高倉稜,1:09.9,クビ,40.3,11,406(0),[西] 北出成人
11,8,15,アサクサゴールド,牡4,57,黛弘人,1:09.9,ハナ,29.4,8,456(-4),[東] 戸田博文
12,6,11,トミケンフィアブル,牡4,57,柴山雄一,1:10.0,クビ,38.2,10,482(+2),[東] 和田正一
13,1,2,シュリメジャー,セ4,57,津村明秀,1:10.0,ハナ,75.4,14,458(-8),[東] 相沢郁
14,8,16,ヨシカワクン,牝4,55,的場勇人,1:10.2,1.1/4,32.9,9,454(+2),[東] 矢野英一
15,2,4,ピーエムヘクター,牡6,57,木幡初也,1:10.3,1/2,167.6,16,492(+14),[東] 和田正一
16,7,14,ヴィスビー,牝3,54,村田一誠,1:10.9,3.1/2,92.9,15,470(-2),[東] 粕谷昌央
