着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,ニライジンク,牡5,60,熊沢重文,3:21.4,,5.3,2,502(0),[西] 池添兼雄
2,5,5,ミルクディッパー,牡5,60,中村将之,3:21.8,2.1/2,89.2,10,580(-2),[西] 北出成人
3,6,8,トラバント,牡6,60,小坂忠士,3:23.0,7,2.0,1,532(-4),[西] 音無秀孝
4,8,12,アマノレインジャー,牡6,60,高田潤,3:23.1,1/2,7.0,4,498(-2),[西] 湯窪幸雄
5,4,4,メイショウタービン,牡5,60,難波剛健,3:23.1,クビ,13.7,6,464(+10),[西] 西浦勝一
6,7,10,シャイニークラウン,牡5,60,平沢健治,3:25.3,大,65.7,9,470(-4),[西] 福島信晴
7,7,9,プロジェクトブルー,牡7,60,石神深一,3:25.4,1/2,26.7,7,512(-14),[東] 星野忍
8,2,2,シンコープリンス,牡7,60,北沢伸也,3:26.4,6,10.0,5,466(+2),[西] 湯窪幸雄
9,3,3,メイショウヤギュウ,牡5,60,植野貴也,3:26.7,1.3/4,64.0,8,476(-2),[西] 南井克巳
10,5,6,タイキサクセション,牡4,59,五十嵐雄,3:33.8,大,92.1,11,418(-4),[東] 浅野洋一
11,8,11,アマクサタカラジマ,牡4,59,田村太雅,3:37.6,大,132.1,12,508(-1),[西] 坪憲章
中,6,7,トップエトワール,牡4,59,林満明,,,6.8,3,506(+4),[西] 岩元市三
