着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,6,シャイニーハーツ,牡4,55,シュタル,2:27.1,,9.4,5,464(-4),[西] 佐々木晶
2,3,4,アドマイヤカーリン,牡6,54,川田将雅,2:27.2,1/2,4.7,2,480(0),[西] 松田博資
3,7,11,ユキノサムライ,牡5,55,古川吉洋,2:27.4,1.1/2,21.4,9,466(0),[西] 木原一良
4,2,2,プランスペスカ,牡4,55,福永祐一,2:27.4,ハナ,10.9,6,456(+4),[西] 松永昌博
5,5,8,エーシンデューク,牡5,54,幸英明,2:27.4,クビ,8.4,4,486(+6),[西] 沖芳夫
6,8,14,ヴァーティカルサン,牡4,54,浜中俊,2:27.5,3/4,7.9,3,548(-8),[西] 石坂正
7,7,12,タイセイドリーム,牡4,56,小牧太,2:27.6,クビ,2.9,1,538(-2),[西] 矢作芳人
8,6,10,ランフォージン,牡5,54,岩田康誠,2:27.6,クビ,16.0,8,454(-4),[西] 高橋義忠
9,3,3,ホーマンベルウィン,牡6,53,酒井学,2:27.9,1.3/4,62.2,11,476(0),[西] 西園正都
10,1,1,ファルスター,牡6,56,内田博幸,2:28.0,1/2,11.9,7,496(-4),[西] 友道康夫
11,5,7,メイショウリョウマ,牡6,54,秋山真一,2:28.0,クビ,41.8,10,522(+2),[西] 岡田稲男
12,6,9,シゲルジョウム,牡6,53,北村友一,2:28.1,1/2,77.5,12,482(-2),[西] 川村禎彦
13,8,13,メイショウシレトコ,牡6,52,国分優作,2:29.1,6,189.2,13,470(+6),[西] 梅内忍
14,4,5,スーパーオービット,牡8,53,和田竜二,2:29.4,1.3/4,201.8,14,464(0),[西] 中竹和也
