着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,4,スマートレイアー,牝4,54,武豊,1:20.3,,2.2,1,464(0),[西] 大久保龍
2,5,6,ウリウリ,牝4,54,福永祐一,1:20.3,ハナ,6.4,3,462(+4),[西] 藤原英昭
3,7,10,ローブティサージュ,牝4,54,シュタル,1:20.3,クビ,24.6,9,456(-2),[西] 須貝尚介
4,3,3,エピセアローム,牝5,54,松山弘平,1:20.4,3/4,14.1,6,488(+2),[西] 石坂正
5,8,13,アミカブルナンバー,牝5,54,四位洋文,1:20.5,クビ,23.0,8,452(-18),[東] 鈴木康弘
6,6,9,サマールナ,牝5,54,古川吉洋,1:20.5,ハナ,138.6,12,466(+4),[西] 木原一良
7,8,12,プリンセスジャック,牝4,54,酒井学,1:20.5,クビ,64.2,11,474(-2),[西] 加用正
8,7,11,クロフネサプライズ,牝4,54,柴山雄一,1:20.5,アタマ,15.9,7,470(+10),[西] 田所秀孝
9,6,8,ウイングザムーン,牝5,54,秋山真一,1:20.7,1.1/4,9.0,4,488(-4),[西] 飯田祐史
10,1,1,トーホウアマポーラ,牝5,54,岩田康誠,1:20.7,ハナ,5.7,2,496(+4),[西] 高橋亮
11,5,7,ヴィルシーナ,牝5,56,内田博幸,1:20.8,クビ,12.2,5,460(+4),[西] 友道康夫
12,2,2,ローガンサファイア,牝4,54,北村友一,1:20.8,アタマ,45.7,10,442(0),[西] 佐々木晶
13,4,5,ミナレット,牝4,54,和田竜二,1:21.4,3.1/2,151.3,13,462(-6),[東] 大和田成
