着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,11,マコトブリジャール,牝4,55,松山弘平,1:46.2,,6.5,3,402(+2),[西] 鮫島一歩
2,7,9,アクションスター,牡4,57,北村友一,1:46.3,1/2,7.7,5,468(-2),[西] 音無秀孝
3,1,1,トーセンソレイユ,牝4,55,小牧太,1:46.3,クビ,3.0,1,438(-2),[西] 池江泰寿
4,3,3,フレージャパン,牡5,57,藤田伸二,1:46.4,クビ,20.4,8,478(+6),[西] 森秀行
5,7,8,ドリームトレイン,牡5,57,菱田裕二,1:46.4,クビ,11.9,7,502(+2),[西] 谷潔
6,6,6,エーシングングン,牡5,57,酒井学,1:46.5,3/4,68.9,10,478(+2),[西] 田所秀孝
7,5,5,デウスウルト,セ6,57,藤岡康太,1:46.6,3/4,7.8,6,462(+8),[西] 平田修
8,4,4,ハナノシンノスケ,牡7,57,岡田祥嗣,1:46.6,ハナ,81.9,11,490(-6),[西] 服部利之
9,2,2,アドマイヤドバイ,牡4,57,幸英明,1:46.7,クビ,4.9,2,466(+4),[西] 橋田満
10,8,10,テイエムイナズマ,牡4,57,古川吉洋,1:46.7,アタマ,7.3,4,510(0),[西] 福島信晴
11,6,7,トーホウストロング,牡6,57,鮫島良太,1:46.8,1/2,45.8,9,488(-6),[西] 藤原英昭
