着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,14,ワキノブレイブ,牡4,57,浜中俊,1:08.1,,6.2,3,486(+2),[西] 清水久詞
2,7,13,レッドオーヴァル,牝4,55,福永祐一,1:08.2,3/4,2.8,2,442(+2),[西] 安田隆行
3,8,16,アンヴァルト,牡7,57,高倉稜,1:08.2,クビ,178.4,16,482(0),[西] 平田修
4,1,1,ロンド,牝6,55,藤岡佑介,1:08.3,クビ,17.8,6,470(+2),[西] 平田修
5,8,15,テイエムタイホー,牡5,57,小坂忠士,1:08.5,1.1/4,17.0,5,480(-6),[西] 鈴木孝志
6,2,4,マイネルエテルネル,牡4,57,ウィリア,1:08.7,1.1/4,11.1,4,478(-6),[西] 西園正都
7,3,5,サカジロロイヤル,牡6,57,太宰啓介,1:08.7,クビ,33.9,8,512(+6),[西] 湯窪幸雄
8,1,2,フォーチュンスター,セ5,57,和田竜二,1:08.7,アタマ,2.8,1,518(-4),[西] 鈴木孝志
9,6,11,メイショウツガル,牡6,57,北村友一,1:08.7,ハナ,40.9,10,476(+2),[西] 武田博
10,4,8,スピークソフトリー,牝5,55,武幸四郎,1:08.7,アタマ,30.2,7,492(0),[西] 千田輝彦
11,4,7,デンファレ,牝7,55,的場勇人,1:08.8,クビ,63.1,11,488(-4),[東] 的場均
12,2,3,オレニホレルナヨ,牡5,57,国分優作,1:08.8,クビ,69.6,12,498(-8),[西] 南井克巳
13,3,6,アグネスウイッシュ,牡6,57,川須栄彦,1:08.9,1/2,80.5,14,504(-2),[西] 長浜博之
14,5,10,メイショウハガクレ,牡5,57,熊沢重文,1:09.2,2,152.4,15,470(+2),[西] 荒川義之
15,5,9,テイエムキュウコー,牡3,54,国分恭介,1:09.4,1.1/2,36.0,9,460(-12),[西] 五十嵐忠
16,6,12,ジャベリン,牡6,57,幸英明,1:09.6,1.1/4,70.2,13,500(+4),[西] 大根田裕
