着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,4,クリノスターオー,牡4,57.5,幸英明,2:03.8,,3.0,1,530(+2),[西] 高橋義忠
2,6,10,ナムラビクター,牡5,58.0,小牧太,2:03.9,3/4,5.8,3,510(-16),[西] 福島信晴
3,5,7,トウシンイーグル,セ6,55.0,和田竜二,2:04.1,1.1/2,12.0,7,474(+4),[西] 山内研二
4,8,14,サトノプリンシパル,牡4,55.0,武豊,2:04.2,クビ,7.6,5,556(0),[西] 矢作芳人
5,4,5,ケイアイレオーネ,牡4,56.0,浜中俊,2:04.2,クビ,7.7,6,564(0),[西] 西浦勝一
6,1,1,グランドシチー,牡7,58.0,津村明秀,2:04.3,1/2,46.7,8,480(-10),[東] 相沢郁
7,7,11,マイネルバイカ,牡5,55.0,川須栄彦,2:04.4,1/2,171.3,14,486(+6),[西] 白井寿昭
8,7,12,ジャンナ,牡6,53.0,藤岡康太,2:04.6,1.1/4,165.1,13,482(-4),[東] 小笠倫弘
9,6,9,ジェベルムーサ,牡4,57.0,田辺裕信,2:04.7,クビ,5.6,2,546(-4),[東] 大竹正博
10,8,13,ソロル,牡4,57.5,蛯名正義,2:04.9,1.1/2,7.1,4,492(+8),[西] 中竹和也
11,4,6,ファイヤー,牡6,54.0,松田大作,2:05.0,クビ,145.2,12,520(+8),[西] 本田優
12,2,2,ヴァンヌーヴォー,牡5,54.0,池添謙一,2:05.0,クビ,52.1,9,502(+2),[西] 角田晃一
13,5,8,ラガートモヒーロ,牡5,54.0,藤田伸二,2:05.7,4,109.7,11,452(-8),[西] 柴田政見
14,3,3,イッシンドウタイ,牡5,55.0,岩田康誠,2:06.3,3.1/2,58.4,10,504(-6),[東] 伊藤圭三
