着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,7,リアルプロジェクト,牡3,56,藤岡康太,1:25.3,,4.9,2,500(+6),[西] 羽月友彦
2,6,11,タマモイレブン,牡3,56,吉田隼人,1:25.5,1.1/4,10.3,5,518(+2),[西] 中竹和也
3,2,4,タイセイアニマート,牡3,56,杉原誠人,1:25.5,クビ,35.9,7,460(-4),[東] 斎藤誠
4,3,5,センターピース,牡3,56,小崎綾也,1:25.6,1/2,2.1,1,452(-6),[西] 石坂正
5,5,9,ノーモアベット,牡3,56,伊藤工真,1:25.8,1.1/4,45.0,9,434(-20),[東] 田島俊明
6,7,14,ニホンピロサンダー,牡3,56,高倉稜,1:26.0,1,6.4,3,464(-2),[西] 田所秀孝
7,5,10,コスモシュアー,牡3,56,丹内祐次,1:26.2,1,90.1,13,446(-4),[東] 高木登
8,7,13,ゴマスリオトコ,牡3,56,松若風馬,1:26.5,2,6.9,4,512(+2),[西] 音無秀孝
9,1,2,アルノルフィーニ,牡3,56,西田雄一,1:26.8,2,117.2,14,444(+4),[東] 高市圭二
10,6,12,ビレッジトプテム,牡3,56,古川吉洋,1:27.0,1.1/4,26.8,6,486(+2),[東] 土田稔
11,1,1,スナッチアキス,牝3,54,黛弘人,1:27.3,1.3/4,88.0,12,422(-8),[東] 高市圭二
12,4,8,トーセンメリッサ,牝3,54,義英真,1:27.3,クビ,80.5,11,456(-10),[東] 加藤征弘
13,8,15,ナガラキコウシ,牡3,56,国分恭介,1:27.4,クビ,65.9,10,462(-8),[西] 大根田裕
14,8,16,ケンブリッジゴール,牡3,56,藤田伸二,1:27.5,1/2,221.7,16,446(-4),[西] 森秀行
15,2,3,カシノキングダム,牡3,56,二本柳壮,1:27.6,3/4,44.6,8,450(-2),[東] 二本柳俊
16,3,6,リバークルーズ,牝3,54,嶋田純次,1:28.3,4,153.7,15,452(-8),[東] 和田正一
