着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,4,エアロヴェロシティ,セ7,57,パートン,1:08.5,,6.5,4,524(-16),[外] オサリバ
2,7,15,ハクサンムーン,牡6,57,酒井学,1:08.6,1/2,16.8,6,478(-6),[西] 西園正都
3,8,16,ミッキーアイル,牡4,57,浜中俊,1:08.6,ハナ,5.2,3,486(+4),[西] 音無秀孝
4,3,6,サドンストーム,牡6,57,国分優作,1:09.2,3.1/2,21.3,10,476(-4),[西] 西浦勝一
5,8,17,コパノリチャード,牡5,57,武豊,1:09.3,1/2,7.7,5,492(-2),[西] 宮徹
6,7,13,ダイワマッジョーレ,牡6,57,Ｍ．デム,1:09.4,3/4,5.1,2,440(-6),[西] 矢作芳人
7,5,10,アフォード,牡7,57,村田一誠,1:09.5,1/2,131.9,15,470(+2),[西] 北出成人
8,6,12,サクラゴスペル,牡7,57,藤岡康太,1:09.6,1/2,23.4,12,488(-6),[東] 尾関知人
9,7,14,トーホウアマポーラ,牝6,55,福永祐一,1:09.6,アタマ,67.9,13,504(0),[西] 高橋亮
10,6,11,ショウナンアチーヴ,牡4,57,吉田隼人,1:09.6,ハナ,108.6,14,482(-4),[東] 国枝栄
11,3,5,ワキノブレイブ,牡5,57,松岡正海,1:09.6,ハナ,186.3,17,492(-4),[西] 清水久詞
12,1,2,オリービン,牡6,57,菱田裕二,1:09.6,アタマ,154.4,16,482(-2),[西] 橋口弘次
13,8,18,ストレイトガール,牝6,55,岩田康誠,1:09.7,クビ,5.1,1,460(+3),[西] 藤原英昭
14,5,9,レッドオーヴァル,牝5,55,戸崎圭太,1:09.9,1.1/4,20.4,8,446(-4),[西] 安田隆行
15,4,8,アンバルブライベン,牝6,55,田中健,1:10.2,2,21.8,11,452(-2),[西] 福島信晴
16,1,1,リトルゲルダ,牝6,55,丸田恭介,1:10.4,1.1/4,19.8,7,504(+4),[西] 鮫島一歩
17,2,3,ローブティサージュ,牝5,55,池添謙一,1:10.4,クビ,20.7,9,464(+2),[西] 須貝尚介
18,4,7,マジンプロスパー,牡8,57,北村友一,1:10.7,1.3/4,186.7,18,518(-2),[西] 中尾秀正
