着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,9,タイタン,牡7,60,植野貴也,3:41.0,,2.6,1,490(+10),[西] 五十嵐忠
2,7,8,シゲルササグリ,牡6,60,熊沢重文,3:41.2,1.1/2,3.8,2,516(+6),[西] 中村均
3,6,6,ヴィーヴァギブソン,セ8,60,西谷誠,3:41.5,2,24.3,7,532(+8),[西] 作田誠二
4,8,10,ラガートモヒーロ,牡6,60,北沢伸也,3:42.3,5,28.6,8,476(+6),[西] 柴田政見
5,1,1,ニジブルーム,牡7,60,小坂忠士,3:43.1,5,5.8,3,498(-2),[西] 山内研二
6,7,7,メイショウゼロセン,牡4,60,森一馬,3:43.7,3.1/2,13.8,6,498(+4),[西] 松永昌博
7,2,2,ティーエスハーツ,牡4,60,林満明,3:44.2,3,9.4,5,546(+6),[西] 岩元市三
8,4,4,タイセイジーニアス,牡7,60,白浜雄造,3:45.9,大,40.6,9,480(0),[西] 宮本博
9,3,3,オールアズワン,牡7,62,平沢健治,3:48.2,大,6.1,4,518(+10),[西] 加用正
10,5,5,エリタージュ,牝5,58,難波剛健,3:50.2,大,123.3,10,470(+12),[西] 松元茂樹
