着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,6,ウォンテッド,牡5,60,高田潤,3:35.6,,31.5,8,496(+6),[西] 松田国英
2,7,12,アップトゥデイト,牡5,61,林満明,3:35.6,クビ,1.7,1,522(0),[西] 佐々木晶
3,1,1,テンジンキヨモリ,牡5,60,石神深一,3:35.7,3/4,8.2,3,492(+4),[東] 武井亮
4,8,13,ショウナンカミング,牡7,60,横山義行,3:35.8,クビ,13.8,5,472(+4),[東] 田中剛
5,7,11,ファイヤー,牡7,60,森一馬,3:37.6,大,5.2,2,520(-4),[西] 本田優
6,2,2,ドリームハヤテ,牡5,60,小坂忠士,3:37.8,1.1/4,24.2,6,512(+4),[西] 南井克巳
7,5,8,カントリースノー,セ8,60,原田和真,3:38.2,2.1/2,82.0,11,526(-12),[東] 栗田博憲
8,3,3,エイブルブラッド,牡7,61,五十嵐雄,3:38.8,3.1/2,9.0,4,516(+10),[東] 伊藤正徳
9,4,5,リキアイクロフネ,牡8,63,金子光希,3:38.9,1/2,25.9,7,474(0),[東] 田中剛
10,5,7,アドマイヤサイモン,牡7,60,西谷誠,3:39.4,3,183.0,14,468(+6),[西] 松田博資
11,6,9,マイネルガヴロシュ,牡8,60,熊沢重文,3:39.7,2,112.7,13,476(-2),[西] 五十嵐忠
12,8,14,トーセンプラチナ,牡6,60,浜野谷憲,3:39.8,1/2,96.4,12,488(+8),[東] 菅原泰夫
13,3,4,スリーマーゴーン,牡5,60,白浜雄造,3:41.2,9,51.9,9,456(0),[西] 中内田充
14,6,10,ラッキーストリーク,牡5,60,蓑島靖典,3:42.3,7,64.6,10,454(-2),[東] 小西一男
