着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,10,サウンドトゥルー,セ5,57,大野拓弥,1:53.4,,3.3,1,476(-4),[東] 高木登
2,7,14,アールプロセス,牡4,56,ベリー,1:53.7,2,4.1,2,520(+14),[東] 萩原清
3,8,16,デグニティクローズ,牡4,56,江田照男,1:54.4,4,114.6,13,542(-2),[東] 栗田徹
4,6,11,ブルーボサノヴァ,牝4,54,丸田恭介,1:54.7,1.3/4,220.9,16,476(+4),[東] 和田雄二
5,8,15,ファンシーミューズ,牝4,54,戸崎圭太,1:54.7,アタマ,12.6,7,488(+2),[東] 高柳瑞樹
6,6,12,コスモラヴモア,牡4,56,柴田大知,1:54.8,クビ,132.1,14,496(+4),[東] 鈴木伸尋
7,3,5,チャンスメイク,牡4,56,内田博幸,1:55.1,1.3/4,31.5,9,460(-2),[東] 加藤和宏
8,7,13,タマモマズルカ,牡4,56,蛯名正義,1:55.1,クビ,19.8,8,516(-4),[東] 伊藤圭三
9,3,6,コスモマイギフト,牡6,57,松岡正海,1:55.2,3/4,41.9,10,490(0),[東] 堀井雅広
10,1,1,クラシックメタル,牡4,56,田中勝春,1:55.4,3/4,55.4,11,506(+16),[東] 二ノ宮敬
11,2,4,ナムラショウリ,牡5,57,菱田裕二,1:55.8,2.1/2,154.8,15,456(0),[東] 大和田成
12,4,7,アナザーバージョン,牡4,56,田辺裕信,1:57.1,8,9.3,5,496(+10),[東] 久保田貴
13,1,2,ビームライフル,牡6,57,後藤浩輝,1:57.9,5,95.3,12,492(+18),[東] 杉浦宏昭
14,4,8,サーランスロット,牡7,57,横山典弘,1:58.4,3,8.8,4,488(-2),[西] 松永幹夫
15,5,9,スペースクルーズ,牡4,56,柴山雄一,1:58.5,1/2,9.7,6,604(+10),[東] 藤沢和雄
16,2,3,ハイアーレート,牡4,56,吉田豊,2:00.6,大,6.9,3,498(0),[東] 大久保洋
