着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,7,アシュヴィン,セ6,61,林満明,3:36.3,,28.4,8,460(-12),[西] 中竹和也
2,4,5,メジロサンノウ,牡7,62,高野和馬,3:36.3,クビ,67.7,12,462(-6),[東] 高橋文雅
3,3,3,エーシンジーライン,牡10,62,西谷誠,3:37.1,5,7.0,4,492(-12),[西] 坂口正則
4,8,13,トーセンハナミズキ,牝5,58,小野寺祐,3:37.1,クビ,24.4,7,474(+4),[東] 成島英春
5,2,2,セイウンコレット,牝4,58,草野太郎,3:37.2,クビ,53.3,10,474(+12),[東] 鈴木伸尋
6,6,8,トウケイゴールド,牡5,60,黒岩悠,3:37.8,3.1/2,6.3,3,496(+10),[西] 清水久詞
7,4,4,ルペールノエル,牡5,60,高田潤,3:37.8,ハナ,5.1,2,516(+2),[西] 藤原英昭
8,6,9,ウメジマダイオー,牡6,60,石神深一,3:38.1,2,31.2,9,508(+10),[東] 星野忍
9,8,12,カシノデューク,牡6,60,蓑島靖典,3:38.7,3.1/2,56.9,11,494(-2),[東] 二本柳俊
10,7,10,ドリームハヤテ,牡5,60,熊沢重文,3:38.9,1.1/4,19.6,6,494(-7),[西] 南井克巳
11,5,6,トーセンソユーズ,牡4,60,五十嵐雄,3:39.0,1/2,2.4,1,498(+8),[東] 菅原泰夫
12,1,1,マイネルゼーラフ,牡4,60,山本康志,3:39.2,1.1/2,7.4,5,490(0),[東] 清水英克
13,7,11,クリノテンペスタ,牡8,60,大江原圭,3:39.8,3.1/2,273.7,13,476(+2),[東] 高橋義博
